M,objeto,estrato,n,cobertura,ancho_medio,desvio,crps
2,score 1,determinista,160,0.9125,3.4024257733486594,0.002725563909774409,0.5747139350555596
2,score 1,ambiguo,239,0.9079497907949791,3.359156644219634,-0.0018246452952465075,0.549043034789365
2,curva,determinista,160,0.9057010135135135,5.303868900148375,-0.0019227756892230552,
2,curva,ambiguo,239,0.9089110030532626,5.204183455688512,0.0012872138505259922,
