bloque,modelo,RMSE_scores,R2_scores,MISE,RMSE_func,MISE_rel_PSBP
train,PSBPM-FD,0.9226420721140713,0.1455556408548144,1.7885638128439945,1.337371979983129,1.0
train,VAR,0.9230636723490209,0.14525210336907046,1.7974892142166823,1.3407047453547265,1.0049902616325976
train,FAR1,0.9230671898276047,0.1452459054125726,1.7975030243971004,1.340709895688512,1.0049979830123543
train,RF,0.770607041295732,0.4040099501949119,1.258382611076148,1.1217765423987738,0.7035715483224467
train,GBT,0.41450588566138763,0.8276051547331531,0.3913949312629114,0.62561564179847,0.2188319636415737
train,media,1.0014139133085393,-2.6977268944294863e-06,2.400478844007691,1.5493478770139684,1.342126474196462
train,persistencia,1.4039479352930972,-0.9699837666330388,5.0835629850783,2.2546758048726874,2.842259777689972
train,(truncamiento FPCA),,,0.036887011600471246,,0.020623816346712967
test,PSBPM-FD,1.1777379232659806,0.1656638850674529,3.628895591171779,1.9049660341254853,1.0
test,VAR,1.1662143131752605,0.18099757775297676,3.57142535321164,1.8898215135857777,0.9841631602463432
test,FAR1,1.1664935628340802,0.18072621547796608,3.57484867194099,1.890727022058179,0.9851065102665748
test,RF,1.1858966900609091,0.16202125538058282,3.829072703117384,1.9568016514499837,1.0551619926548967
test,GBT,1.1949200994914664,0.11267954534415892,3.4048915152526384,1.845234813039424,0.9382721077828505
test,media,1.3254031152201264,-0.01697596838085469,5.390905486795679,2.321832355445948,1.4855499011628888
test,persistencia,1.688250181046656,-0.653598960537934,8.592660583817908,2.9313240325521686,2.3678445322929003
test,(truncamiento FPCA),,,0.062221756757997654,,0.017146196465218803
