M,2
experiment_id,escenario_G_r01_m02
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
n_lags,1
M_fpca,2
K_base,4
var_explicada,0.985322
n_train_origenes,279
n_test_origenes,120
w_ventana,20
p_bic_libre,1
far_hs_norm,1.770688
far_hs_referencia,0.70
far_radio_espectral,0.138076
mise_truncamiento_test,0.06222176
mise_test_VAR,3.57142535
mise_test_FAR1,3.57484867
mise_test_RF,3.8290727
mise_test_GBT,3.40489152
mise_test_media,5.39090549
mise_test_persistencia,8.59266058
mise_test_PSBPM-FD,3.62889559
