bloque,mae_f,rmse_f,l2_medio,razon_agregacion,linf_max,linf_medio,q95_abs_medio,razon_linf_l1_media,argmax_tau_peor,argmax_origen_peor,n,mae_f_truncamiento,rmse_f_truncamiento
train,0.7811899240021023,0.973900512871257,0.8597396657107162,0.8827797648201546,3.755688020168595,1.3089600332400824,1.2644090596935555,1.8623760984353717,0.0,364,559,0.13542652041540085,0.1874468963830695
test,0.7799279883823964,0.9738284876861408,0.8541639286487401,0.8771194717031446,3.0715728308949446,1.2876474619761964,1.2412039819827185,1.8605988740395438,0.020202020202020204,2,240,0.13489094529523007,0.18705753833014796
