metrica,modelo,observado,li,ls,sd_boot,largo_bloque,criterio_bloque,n
mae_f,(truncamiento FPCA),0.13489094529523007,0.12280339584166007,0.1478756638383475,0.006573310708549422,6,memoria de la serie (n^(1/3)),240
mae_f,FAR,0.7813007172528513,0.7260464848169784,0.8368280203797055,0.02870394015159822,6,memoria de la serie (n^(1/3)),240
mae_f,GBT,0.8757679137956994,0.8222591354316519,0.9327010208244608,0.02840930998883739,6,memoria de la serie (n^(1/3)),240
mae_f,PSBPM-FD,0.7771499691666622,0.7217321081832672,0.8320003500755383,0.028318759940920996,6,memoria de la serie (n^(1/3)),240
mae_f,RF,0.8051852554859953,0.75317873731132,0.8572894044377092,0.026912216882809547,6,memoria de la serie (n^(1/3)),240
mae_f,media,0.945963438514243,0.8612533435407033,1.0359102500272424,0.04495749075693948,6,memoria de la serie (n^(1/3)),240
mae_f,persistencia,0.8895670989686255,0.8235977632066607,0.9542236026533758,0.03415026858625415,6,memoria de la serie (n^(1/3)),240
rmse_f,(truncamiento FPCA),0.18705753833014796,0.1699397590701439,0.20371727373770412,0.008772479125249236,6,memoria de la serie (n^(1/3)),240
rmse_f,FAR,0.9769966070469976,0.9084938850374995,1.0430152407889368,0.03477647710859183,6,memoria de la serie (n^(1/3)),240
rmse_f,GBT,1.095565547946715,1.0276899425857675,1.1585139009941021,0.03387559212300992,6,memoria de la serie (n^(1/3)),240
rmse_f,PSBPM-FD,0.9710693194030793,0.9038925938581749,1.0355313579345202,0.0344332925901248,6,memoria de la serie (n^(1/3)),240
rmse_f,RF,1.004645144960489,0.9422484504173463,1.0620282860340347,0.03132453254899216,6,memoria de la serie (n^(1/3)),240
rmse_f,media,1.1656461277304517,1.0598159967212868,1.2671961542042816,0.052959941917282254,6,memoria de la serie (n^(1/3)),240
rmse_f,persistencia,1.1118911028340668,1.033605255138968,1.1863030295115633,0.04056451332587878,6,memoria de la serie (n^(1/3)),240
