componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,2,1,0,1,0,0.5,0.0,0.5,,0.5075,
FPC 2,2,1,0,1,0,0.5,0.0,0.5,,0.515625,
