bloque,modelo,FPC1,FPC2
test,FAR,0.7737307700946734,0.9485829704298183
test,GBT,0.8739735657584738,1.048014177828676
test,RF,0.7965559919656465,0.9733878798961338
test,media,0.9630959212728372,0.9485829518515623
test,persistencia,0.8646284600936338,1.1638268605246804
train,FAR,0.76504829340298,1.0008618375982985
train,GBT,0.4848250098337635,0.6026938412474053
train,RF,0.6659013827129384,0.7925578590296858
train,media,1.000706916144069,1.000861841167839
train,persistencia,0.8435732184903635,1.1791272503092298
