bloque,metrica,observado,li,ls,sd_boot,largo_bloque,criterio_bloque,B,n
test,mae_f,0.7799279883823964,0.7250204689605743,0.8343486507325577,0.028340570093611118,6,memoria de la serie (n^(1/3)),2000,240
test,picp,0.9420416666666667,0.9188291666666666,0.9625010416666667,0.011199436763921084,6,memoria de la serie (n^(1/3)),2000,240
test,rmse_f,0.9738284876861408,0.9070040065087268,1.0373246039957467,0.034344816174446464,6,memoria de la serie (n^(1/3)),2000,240
test,winkler,4.620852371645802,4.22250195032313,5.112664894933994,0.23186823788148164,6,memoria de la serie (n^(1/3)),2000,240
train,mae_f,0.7811899240021023,0.7474635448294729,0.8134242420438332,0.017108769740425443,8,memoria de la serie (n^(1/3)),2000,559
train,picp,0.9394096601073347,0.9271529516994633,0.951449016100179,0.006206544934716132,8,memoria de la serie (n^(1/3)),2000,559
train,rmse_f,0.973900512871257,0.934129533470853,1.0116695889324219,0.019948141290293542,8,memoria de la serie (n^(1/3)),2000,559
train,winkler,4.530077178695546,4.308225088891162,4.77367543367573,0.11657040293793851,8,memoria de la serie (n^(1/3)),2000,559
