M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,7.8465,19,15.0,30,False
1,1,2,7.6955,23,16.0,30,False
2,1,1,7.8465,19,15.0,30,False
2,1,2,7.6955,23,16.0,30,False
2,2,1,8.107,22,15.0,30,False
2,2,2,9.8595,30,17.0,30,True
3,1,1,7.8465,19,15.0,30,False
3,1,2,7.6955,23,16.0,30,False
3,2,1,8.107,22,15.0,30,False
3,2,2,9.8595,30,17.0,30,True
3,3,1,10.0755,23,17.0,30,False
3,3,2,11.6005,24,19.0,30,False
4,1,1,7.8465,19,15.0,30,False
4,1,2,7.6955,23,16.0,30,False
4,2,1,8.107,22,15.0,30,False
4,2,2,9.8595,30,17.0,30,True
4,3,1,10.0755,23,17.0,30,False
4,3,2,11.6005,24,19.0,30,False
4,4,1,10.8755,26,18.0,30,False
4,4,2,11.0905,30,19.0,30,True
