1.184726342382882658e+00,1.183074237674333951e+00,1.191801686385125958e+00,1.186277329583838913e+00,1.187874726083166133e+00,1.178352059732046042e+00,1.178578661970533403e+00,1.169719758113669128e+00,1.180797478103301934e+00,1.196545502001634675e+00
1.199330360922154615e+00,1.192133523969076236e+00,1.179434041741308947e+00,1.194762140938789186e+00,1.198744880439496674e+00,1.181540876047945332e+00,1.178107487446777846e+00,1.167758975615537320e+00,1.193843227793103923e+00,1.191588064247411261e+00
1.204626663250393914e+00,1.198301577400299189e+00,1.203548144440827583e+00,1.191020295462142720e+00,1.201408328457200136e+00,1.190721288118485877e+00,1.184681416478284399e+00,1.189123193397551681e+00,1.188218222902616361e+00,1.200196327963090948e+00
1.207692377841819154e+00,1.206926351374388195e+00,1.202786378225083608e+00,1.196645630623067946e+00,1.205329826410647565e+00,1.201788000905102072e+00,1.190204440473037861e+00,1.189459501859195578e+00,1.188448485699976187e+00,1.240170822284028640e+00
1.228969540036944919e+00,1.222876013168419096e+00,1.219387224235946254e+00,1.235169240167701021e+00,1.217205147340538973e+00,1.225896793995996159e+00,1.209094300201328798e+00,1.208497330508756074e+00,1.206363905844682893e+00,1.230427907526882025e+00
1.233857391090396494e+00,1.226329013000650114e+00,1.212844914082922720e+00,1.212443021176913049e+00,1.214167363206760664e+00,1.205821115361199070e+00,1.207615098046931790e+00,1.203371858898982794e+00,1.209891611460266025e+00,1.183789173696414343e+00
1.193881435517897938e+00,1.194812868245390902e+00,1.188134918462583123e+00,1.184048618199654790e+00,1.185069435080172262e+00,1.173483574597919965e+00,1.178272866313077039e+00,1.174424540042483533e+00,1.177888679743956057e+00,1.180680447208660500e+00
1.174634717959660568e+00,1.182507224820787295e+00,1.187209347809842219e+00,1.179728348992495235e+00,1.180308647003265765e+00,1.174181721472751239e+00,1.178909125584040041e+00,1.167552277234711111e+00,1.167437547157293976e+00,1.177119982482956573e+00
1.179053940856747085e+00,1.171280112814782060e+00,1.172105918303713024e+00,1.176576524389953970e+00,1.144383585762520639e+00,1.190622334335559307e+00,1.174393612004171805e+00,1.173251066927272213e+00,1.160561833608172666e+00,1.180461311961471305e+00
1.175606746005255054e+00,1.181929229331407649e+00,1.174619693929972231e+00,1.169802018876228145e+00,1.178995108383863677e+00,1.174452055067181755e+00,1.174897845492940185e+00,1.166723923037428445e+00,1.170447106153110095e+00,1.170128296145896751e+00
