M,metrica,columna,modelo,bloque,minimo,maximo,promedio
1,1. MAE  (L^1),mae_f,(truncamiento FPCA),test,0.662788916938992,0.9523074834085236,0.7748481155123125
1,1. MAE  (L^1),mae_f,(truncamiento FPCA),train,0.5744886096334234,0.9175626105216507,0.7416710039142991
1,1. MAE  (L^1),mae_f,FAR,test,0.7530136733464449,1.0735810258823835,0.873924994406399
1,1. MAE  (L^1),mae_f,FAR,train,0.6989050380945533,1.0074612536134586,0.8384625009264711
1,1. MAE  (L^1),mae_f,GBT,test,0.7688149795559363,1.0823637119875058,0.888591029509443
1,1. MAE  (L^1),mae_f,GBT,train,0.6682626942574833,0.9926108199552512,0.8165755835530554
1,1. MAE  (L^1),mae_f,PSBPM-FD,test,0.7514482526079727,1.0770317070849071,0.8728566446237861
1,1. MAE  (L^1),mae_f,PSBPM-FD,train,0.7020718542667901,1.016448512917143,0.8395438384373076
1,1. MAE  (L^1),mae_f,RF,test,0.7667679182485428,1.0893643927495154,0.8903613225958862
1,1. MAE  (L^1),mae_f,RF,train,0.6731070499015366,1.004244229039329,0.8167958166682835
1,1. MAE  (L^1),mae_f,media,test,0.7800603939848844,1.0776976066994586,0.8909989253534967
1,1. MAE  (L^1),mae_f,media,train,0.7386872463603283,1.0853556649049134,0.8728477557577731
1,1. MAE  (L^1),mae_f,persistencia,test,0.757880722334433,1.1477344346650435,0.9072550235441778
1,1. MAE  (L^1),mae_f,persistencia,train,0.7232542371324626,1.0247154311171403,0.8659956877134389
1,2. RMSE (L^2),rmse_f,(truncamiento FPCA),test,0.8212603111416561,1.1481296063043394,0.9602286915560307
1,2. RMSE (L^2),rmse_f,(truncamiento FPCA),train,0.7224345201968334,1.128615187681846,0.9315187300248554
1,2. RMSE (L^2),rmse_f,FAR,test,0.9439304567500809,1.3309040801807637,1.085181657767874
1,2. RMSE (L^2),rmse_f,FAR,train,0.866917815177303,1.234831061605207,1.047861213198837
1,2. RMSE (L^2),rmse_f,GBT,test,0.9731768312476725,1.34297155909605,1.1022791619992847
1,2. RMSE (L^2),rmse_f,GBT,train,0.8364853019616538,1.2113077970019632,1.0233215005513
1,2. RMSE (L^2),rmse_f,PSBPM-FD,test,0.9412425656636106,1.334618300680952,1.0834581074085017
1,2. RMSE (L^2),rmse_f,PSBPM-FD,train,0.8747985059124171,1.245175432818615,1.049527289135972
1,2. RMSE (L^2),rmse_f,RF,test,0.9693896250150873,1.3476623735915962,1.1048866015327825
1,2. RMSE (L^2),rmse_f,RF,train,0.8362864492681872,1.2153057151500117,1.022327939566837
1,2. RMSE (L^2),rmse_f,media,test,0.9688999350092125,1.3453023721213624,1.1022930990371849
1,2. RMSE (L^2),rmse_f,media,train,0.9188709676554593,1.3019551302705972,1.0900829378110561
1,2. RMSE (L^2),rmse_f,persistencia,test,0.9615536735845164,1.415213896078086,1.1307291102284083
1,2. RMSE (L^2),rmse_f,persistencia,train,0.9081754204412713,1.288800545376866,1.083979198761037
1,3. E_max promedio por curva,linf_medio,(truncamiento FPCA),test,1.599412943771317,2.0516114375241905,1.859834214113616
1,3. E_max promedio por curva,linf_medio,(truncamiento FPCA),train,1.4942518307949244,2.193490057326929,1.8143377726865952
1,3. E_max promedio por curva,linf_medio,FAR,test,1.8467933581966318,2.4164414609593905,2.066551942085848
1,3. E_max promedio por curva,linf_medio,FAR,train,1.740162657665357,2.353395890932013,2.0271863564382904
1,3. E_max promedio por curva,linf_medio,GBT,test,1.8527680129192006,2.428511336771715,2.0894796661657877
1,3. E_max promedio por curva,linf_medio,GBT,train,1.6843782106304228,2.2760919876069527,1.9921755234375687
1,3. E_max promedio por curva,linf_medio,PSBPM-FD,test,1.833791297047619,2.4183539620811922,2.0636042623894477
1,3. E_max promedio por curva,linf_medio,PSBPM-FD,train,1.729676470924695,2.375497424680183,2.027612088080687
1,3. E_max promedio por curva,linf_medio,RF,test,1.8290475873780072,2.4324318609402846,2.0903828286582797
1,3. E_max promedio por curva,linf_medio,RF,train,1.7134627644310054,2.2977808813716023,1.991263684425191
1,3. E_max promedio por curva,linf_medio,media,test,1.8143297124006104,2.449772887175133,2.084690405494257
1,3. E_max promedio por curva,linf_medio,media,train,1.7755972728845477,2.480327127028043,2.0804806972249374
1,3. E_max promedio por curva,linf_medio,persistencia,test,1.893046905511038,2.5214839588054656,2.139387575327138
1,3. E_max promedio por curva,linf_medio,persistencia,train,1.767964188750211,2.440404633749669,2.0754929639858255
1,4. E_max peor de la ventana,linf_max,(truncamiento FPCA),test,2.122202738912929,3.963153606796524,2.903325370832606
1,4. E_max peor de la ventana,linf_max,(truncamiento FPCA),train,2.203488060685783,3.796950826757973,3.000384094178519
1,4. E_max peor de la ventana,linf_max,FAR,test,2.58610964424708,3.9429400245799817,3.181815661700022
1,4. E_max peor de la ventana,linf_max,FAR,train,2.3936440058534356,4.303507072252248,3.2452934566252223
1,4. E_max peor de la ventana,linf_max,GBT,test,2.7836093265923414,3.9213868261372977,3.222018173425865
1,4. E_max peor de la ventana,linf_max,GBT,train,2.2972175661186056,4.1166518786565165,3.1894959323235383
1,4. E_max peor de la ventana,linf_max,PSBPM-FD,test,2.5265759832946824,3.9558338000158244,3.165956874287327
1,4. E_max peor de la ventana,linf_max,PSBPM-FD,train,2.3823577761057066,4.292231137322117,3.2503067802415693
1,4. E_max peor de la ventana,linf_max,RF,test,2.7019018594446877,3.9221378694728357,3.2367603736144783
1,4. E_max peor de la ventana,linf_max,RF,train,2.357922637072734,4.0388357741327585,3.1786283361405796
1,4. E_max peor de la ventana,linf_max,media,test,2.611081375775954,3.9418738612970983,3.2545452858169415
1,4. E_max peor de la ventana,linf_max,media,train,2.6141073511160435,4.407078032917905,3.3201111279449598
1,4. E_max peor de la ventana,linf_max,persistencia,test,2.71449062929309,3.967564406160544,3.2500850999952955
1,4. E_max peor de la ventana,linf_max,persistencia,train,2.310224933953356,4.751965397436281,3.3662955422289493
2,1. MAE  (L^1),mae_f,(truncamiento FPCA),test,0.5548982034075683,0.7439660719378035,0.6339258131427793
2,1. MAE  (L^1),mae_f,(truncamiento FPCA),train,0.48889500144982456,0.7561744247139205,0.6093703621437544
2,1. MAE  (L^1),mae_f,FAR,test,0.762023308501324,0.9599684748944748,0.847226812798105
2,1. MAE  (L^1),mae_f,FAR,train,0.6907950521939601,0.9508001267046481,0.8135823625283679
2,1. MAE  (L^1),mae_f,GBT,test,0.7757487517798106,0.9896380282827468,0.8819933313934535
2,1. MAE  (L^1),mae_f,GBT,train,0.5927025522379155,0.8605778518938341,0.7171186336939354
2,1. MAE  (L^1),mae_f,PSBPM-FD,test,0.7595943413614392,0.9676166318747118,0.8450292995564765
2,1. MAE  (L^1),mae_f,PSBPM-FD,train,0.6931015913176415,0.9492891936370003,0.8158206011983596
