kn,hs_observada,hs_curva_verdadera,condicion,lambda_kn,L2_prediccion
1,0.6453810675227513,0.6454805781951731,1.0,1.2272305462379296,0.9001122044878886
2,0.7170004314990146,0.7159167819463929,5.638003203034857,0.21767113320853185,0.9041303972797526
3,0.7388478887023562,0.7349545887463855,38.92622323720057,0.03152709007395056,0.9010256956747394
4,0.8349434890472943,0.8378148259688444,375.7625033536998,0.0032659739470671857,0.9014598280101858
5,1.1753360162295936,1.205556965171063,1006.3213043702023,0.0012195215791500921,0.9049041533360423
6,1.5717612334673312,12.458732874095116,1044.4092347496007,0.001175047582313039,0.9033948909868688
7,1.6303651672606578,49.75506137947832,1075.3768822003155,0.0011412097159155107,0.9054876851756745
8,1.6417310936149117,49.75506140521334,1107.4975406666092,0.0011081113060524292,0.9054127367339787
9,1.87025669066791,49.75506145654408,1126.3745485141774,0.0010895403734546322,0.9036166172827225
10,3.2477270455632334,49.755061456630294,1142.7807313679693,0.0010738985288707742,0.9033791143863912
11,3.429193549936432,49.75506145675222,1154.4681438976854,0.0010630267736055372,0.9038075851570522
12,3.52690761088237,49.75506145694138,1180.772417228638,0.001039345540538906,0.9065509125567778
