metrica,bloque,columna,minimo,maximo,promedio,M
1. MAE   (L^1),train,mae_f,0.4720133691541129,1.0965591753326518,0.7871509017284004,1
1. MAE   (L^1),test,mae_f,0.591710365780372,1.0068040628814467,0.768525272771897,1
2. RMSE  (L^2),train,rmse_f,0.6513555762944119,1.296258977955354,0.97663709663852,1
2. RMSE  (L^2),test,rmse_f,0.7386094696817215,1.2169186706134756,0.9592898750978477,1
"3. Error maximo (L^inf, prom. por curva)",train,linf_medio,0.8941781409402735,1.740181086054823,1.3202544745266955,1
"3. Error maximo (L^inf, prom. por curva)",test,linf_medio,0.9987531264645293,1.5650600406063044,1.280944960069204,1
4. Winkler,train,winkler,3.49041037176791,7.6635800517796,5.026573822372313,1
4. Winkler,test,winkler,3.6338170005155535,7.162081547200304,4.87960605098739,1
6a. PICP puntual,train,picp,0.7865,0.975,0.8928268518518517,1
6a. PICP puntual,test,picp,0.8235,0.9675,0.900210407239819,1
6b. PICP simultaneo (curva completa),train,picp_simultaneo,0.3,0.85,0.5502777777777778,1
6b. PICP simultaneo (curva completa),test,picp_simultaneo,0.35,0.9,0.6072398190045248,1
7. MPIW,train,mpiw,3.249383325238647,3.3580398420071362,3.306371086750298,1
7. MPIW,test,mpiw,3.2686379952171625,3.3680892655389596,3.306264570727036,1
1. MAE   (L^1),train,mae_f,0.46012037116319837,1.0762463742827355,0.7778431456116599,2
1. MAE   (L^1),test,mae_f,0.5972874018996046,0.9995324493261691,0.7664471790979287,2
2. RMSE  (L^2),train,rmse_f,0.652239867215411,1.2581759893337432,0.966315333749015,2
2. RMSE  (L^2),test,rmse_f,0.7552150825691546,1.2198286069664814,0.956360431532001,2
"3. Error maximo (L^inf, prom. por curva)",train,linf_medio,0.8903208848393644,1.6534209484962332,1.3086934073963852,2
"3. Error maximo (L^inf, prom. por curva)",test,linf_medio,0.9862223230236055,1.5350610841201928,1.272038774391461,2
4. Winkler,train,winkler,3.743651368814299,6.668613233287803,4.542601991038568,2
4. Winkler,test,winkler,3.7623000266437296,6.812471490681675,4.590614031971732,2
6a. PICP puntual,train,picp,0.862,1.0,0.9409074074074074,2
6a. PICP puntual,test,picp,0.8605,1.0,0.944024886877828,2
6b. PICP simultaneo (curva completa),train,picp_simultaneo,0.6,1.0,0.799537037037037,2
6b. PICP simultaneo (curva completa),test,picp_simultaneo,0.6,1.0,0.8167420814479637,2
7. MPIW,train,mpiw,3.7288562314290403,3.81951868927788,3.7675886844898265,2
7. MPIW,test,mpiw,3.709247282212108,3.8024444984607544,3.7567140809982673,2
1. MAE   (L^1),train,mae_f,0.45617815894139274,1.0797118866305724,0.778632021901649,3
1. MAE   (L^1),test,mae_f,0.6053609525487429,0.9949901258632025,0.7648527176278692,3
2. RMSE  (L^2),train,rmse_f,0.6424540073450631,1.2665611491567688,0.9668753750582352,3
2. RMSE  (L^2),test,rmse_f,0.7530822694643571,1.2130321697782158,0.9551016056414161,3
"3. Error maximo (L^inf, prom. por curva)",train,linf_medio,0.8869678105910189,1.661050682594641,1.31002128231261,3
"3. Error maximo (L^inf, prom. por curva)",test,linf_medio,0.9781012370399648,1.533302771931777,1.2721331176453496,3
4. Winkler,train,winkler,3.7881757629681387,6.354250162324112,4.519502897486451,3
4. Winkler,test,winkler,3.818959148705533,6.431380214037115,4.556030485984961,3
6a. PICP puntual,train,picp,0.8685,1.0,0.9464527777777779,3
6a. PICP puntual,test,picp,0.8775,1.0,0.9525429864253394,3
6b. PICP simultaneo (curva completa),train,picp_simultaneo,0.6,1.0,0.8357407407407409,3
6b. PICP simultaneo (curva completa),test,picp_simultaneo,0.7,1.0,0.8701357466063349,3
7. MPIW,train,mpiw,3.7827283746485056,3.9188770007442773,3.8482471629701736,3
7. MPIW,test,mpiw,3.8051545819420394,3.890813922226776,3.8375637514733456,3
