M,bloque,banda,winkler,picp_simultaneo,picp,ace,mpiw
1,test,FAR (IC del modelo AR),4.590339180086255,0.8833333333333333,0.9499166666666666,-8.333333333332416e-05,3.8565431136285557
1,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",4.5848004021885025,0.8833333333333333,0.9501666666666667,0.00016666666666675933,3.8568398557178365
1,test,PSBPM-FD (predictiva bayesiana),4.910589488023672,0.5958333333333333,0.8983333333333333,-0.05166666666666664,3.3157345077150446
1,train,FAR (IC del modelo AR),4.559711728089922,0.8461538461538461,0.9490161001788909,-0.0009838998211090244,3.856543113628556
1,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",4.555989140215305,0.8461538461538461,0.9486583184257603,-0.0013416815742396393,3.856839855717836
1,train,PSBPM-FD (predictiva bayesiana),5.008779200883734,0.5491949910554562,0.8930232558139535,-0.05697674418604648,3.3156626714713737
2,test,FAR (IC del modelo AR),4.590339068448733,0.8833333333333333,0.9499166666666666,-8.333333333332416e-05,3.856543110083147
2,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",4.578996391149942,0.8625,0.949125,-0.0008749999999999591,3.8171090277685598
2,test,PSBPM-FD (predictiva bayesiana),4.59891998777192,0.8166666666666667,0.9424583333333333,-0.007541666666666669,3.7624363182259257
2,train,FAR (IC del modelo AR),4.559711755664505,0.8461538461538461,0.9490161001788909,-0.0009838998211090244,3.8565431100831473
2,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",4.49445464616148,0.8443649373881932,0.9484615384615385,-0.0015384615384614886,3.8171090277685598
2,train,PSBPM-FD (predictiva bayesiana),4.52503465499314,0.8032200357781754,0.9420572450805009,-0.007942754919499029,3.7697155644763125
3,test,FAR (IC del modelo AR),4.590337225948774,0.8833333333333333,0.9499166666666666,-8.333333333332416e-05,3.85654234656196
3,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",4.575285870640396,0.8625,0.949,-0.0010000000000000009,3.8180949516550573
3,test,PSBPM-FD (predictiva bayesiana),4.555445585436729,0.8666666666666667,0.9517083333333334,0.0017083333333334227,3.8395672403176015
3,train,FAR (IC del modelo AR),4.55971194400503,0.8461538461538461,0.9490161001788909,-0.0009838998211090244,3.8565423465619597
3,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",4.496457365754399,0.8443649373881932,0.9484257602862254,-0.0015742397137745723,3.8180949516550586
3,train,PSBPM-FD (predictiva bayesiana),4.507878253888911,0.8389982110912343,0.9472450805008945,-0.002754919499105446,3.8480096259209633
