M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
1,1. MAE  (L^1),train,FAR,1.0313551211579535,1.0
1,1. MAE  (L^1),train,RF,1.0042680709595364,0.9740629642075693
1,1. MAE  (L^1),train,GBT,1.004022052237183,0.973846900842843
1,1. MAE  (L^1),train,PSBPM-FD,1.032657479595486,1.0012969524235094
1,1. MAE  (L^1),test,FAR,1.0036488153257377,1.0
1,1. MAE  (L^1),test,RF,1.0225591458533805,1.0188569635325542
1,1. MAE  (L^1),test,GBT,1.0206359104727938,1.016957813060484
1,1. MAE  (L^1),test,PSBPM-FD,1.002298471135405,0.9986735109796937
1,2. RMSE (L^2),train,FAR,1.028868516990298,1.0
1,2. RMSE (L^2),train,RF,1.0035730622446473,0.9756949299168064
1,2. RMSE (L^2),train,GBT,1.0046039521717816,0.9767018517624115
1,2. RMSE (L^2),train,PSBPM-FD,1.0305310473046372,1.0016344876962406
1,2. RMSE (L^2),test,FAR,1.0036699809441019,1.0
1,2. RMSE (L^2),test,RF,1.0219872225233309,1.0182686006240964
1,2. RMSE (L^2),test,GBT,1.0196682793311203,1.0159662767015074
1,2. RMSE (L^2),test,PSBPM-FD,1.0019210966351488,0.9982766572953877
1,3. E_max promedio por curva,train,FAR,1.0225644264587959,1.0
1,3. E_max promedio por curva,train,RF,1.0044401910434682,0.9825272979736983
1,3. E_max promedio por curva,train,GBT,1.0048525515263458,0.9829245239244175
1,3. E_max promedio por curva,train,PSBPM-FD,1.0228056323557204,1.0002579061206183
1,3. E_max promedio por curva,test,FAR,1.0044488892246775,1.0
1,3. E_max promedio por curva,test,RF,1.015877721603275,1.0114200708060435
1,3. E_max promedio por curva,test,GBT,1.015573281476316,1.0111094218932806
1,3. E_max promedio por curva,test,PSBPM-FD,1.0028324965828033,0.9984073224143767
1,4. E_max peor de la ventana,train,FAR,1.0355559603597635,1.0
1,4. E_max peor de la ventana,train,RF,1.015033978780268,0.9815163572010517
1,4. E_max peor de la ventana,train,GBT,1.0182618533907926,0.9845394751050682
1,4. E_max peor de la ventana,train,PSBPM-FD,1.0372419740055807,1.0017558902595138
1,4. E_max peor de la ventana,test,FAR,1.0232567269727209,1.0
