bloque,M,mae_f,rmse_f,l2_medio,razon_agregacion,linf_medio,linf_max,q95_abs_medio,razon_linf_l1,rmse_f_truncamiento,mae_f_truncamiento,winkler,picp,ee_picp,ace,mpiw,razon_primaria_piso
test,1,0.7794138717149117,0.9752358430604641,0.8585318998298818,0.8803325943554899,1.2961591835535011,3.218187888433695,1.2511503734843268,1.8609553879687026,0.47808101802608793,0.36272426661350415,4.974269068877378,0.8959583333333333,0.0019707971976661385,-0.054041666666666655,3.300909215637834,2.039896599716593
test,2,0.7799279883823964,0.9738284876861408,0.8541639286487401,0.8771194717031446,1.2876474619761964,3.0715728308949446,1.2412039819827185,1.8605988740395438,0.18705753833014796,0.13489094529523007,4.620852371645802,0.9420416666666667,0.0015082987785713462,-0.00795833333333329,3.720758160133796,5.206037117666855
test,3,0.7745525349633754,0.96942363489146,0.8503339451662452,0.8771541301047932,1.2861653913943347,3.0402360517485802,1.2397225265780263,1.873606559958778,0.0758530638012255,0.05846837562689255,4.611856937464773,0.948625,0.0014250089089633785,-0.001374999999999904,3.8242802328920087,12.780283172633006
train,1,0.788972102346019,0.983678406859045,0.8685604682234835,0.882971977596681,1.3192326038366315,3.5566812770219842,1.2753608329066703,1.8536938299825896,0.5013312696476191,0.3734411622660844,5.069179702051457,0.889051878354204,0.0013283656141339023,-0.060948121645795994,3.293146013570389,1.962132558678143
train,2,0.7811899240021023,0.973900512871257,0.8597396657107162,0.8827797648201546,1.3089600332400824,3.755688020168595,1.2644090596935555,1.8623760984353717,0.1874468963830695,0.13542652041540085,4.530077178695546,0.9394096601073345,0.0010090746624985404,-0.010590339892665446,3.7402895523962485,5.195607564933901
train,3,0.7841501046205946,0.9765135178287047,0.8630860907374561,0.8838444885602235,1.3140643439927313,3.6381173882589364,1.2691547729059869,1.8641032300697495,0.07412075322996725,0.057068273546925605,4.475632208466825,0.9440429338103756,0.0009721145361697136,-0.005957066189624327,3.816774778781809,13.174630252325839
