M,modelo,bloque,mise,rmse_f,mae_f,linf_medio,razon_linf_l1,MISE_FAR,MISE_rel_FAR
1,(truncamiento FPCA),test,0.21841798968109705,0.46368266567060085,0.35566730023116644,0.7957137161759473,2.4112694023099075,0.9328217288192522,0.23414762213736845
1,(truncamiento FPCA),train,0.2525433407880326,0.49640755934103076,0.374322806415959,0.8414483576281311,2.4699058783040364,0.965108178927886,0.2616736095518085
1,FAR,test,0.9328217288192522,0.9610781979557482,0.7704710374601306,1.2821683071835537,1.8615445312258976,0.9328217288192522,1.0
1,FAR,train,0.965108178927886,0.97585128839372,0.7864669506554577,1.3193849553347041,1.861424068168651,0.965108178927886,1.0
1,GBT,test,1.0613746373557216,1.0240132157126949,0.8234068299670997,1.3416044591383214,1.8508626308612113,0.9328217288192522,1.137810799818299
1,GBT,train,0.7649546656781769,0.8689269992717373,0.6921673479548782,1.2261133722124355,1.9426251548112667,0.965108178927886,0.7926102818110458
1,PSBPM-FD,test,0.9318847104679753,0.9605945795800992,0.7704190697091616,1.2820276892075932,1.8603046897335649,0.9328217288192522,0.9989955011527626
1,PSBPM-FD,train,0.9652768716128439,0.9760060065849226,0.7869140585022023,1.3197337416748893,1.8613589838354385,0.965108178927886,1.0001747914779309
1,RF,test,1.0367838336479112,1.012146379427486,0.8140526702070766,1.32787149742062,1.8539148882001173,0.9328217288192522,1.1114490600044793
1,RF,train,0.7707790558553406,0.8720381665327672,0.6954307310863969,1.2300070271577292,1.9474933653793254,0.965108178927886,0.7986452427660279
1,media,test,1.342689072908646,1.1404619376156027,0.9463394834387435,1.4644749524256897,1.7405246112804387,0.9328217288192522,1.4393844305151382
1,media,train,1.4750930846539982,1.1944746752585995,0.987406593618207,1.5162975691736997,1.7302637911455405,0.965108178927886,1.5284225300967207
1,persistencia,test,1.110060108959497,1.0467193652706261,0.8431390537602962,1.3551566438713285,1.8068929178927657,0.9328217288192522,1.190002413820902
1,persistencia,train,1.1194262680188556,1.0477746184409047,0.8453327835497058,1.3791112652138886,1.7996265171319183,0.965108178927886,1.159897193351317
2,(truncamiento FPCA),test,0.03480673453341066,0.18293417362835357,0.1344290258192586,0.3948876312426409,3.0744067771206502,0.9328217390230897,0.03731338269395661
2,(truncamiento FPCA),train,0.03549562623966662,0.18689175916351522,0.13604642562577776,0.3951125464107953,3.0715192657796213,0.9651081774821195,0.03677890941953421
2,FAR,test,0.9328217390230897,0.9610782027832419,0.7704710385516745,1.2821683166684739,1.861544580007815,0.9328217390230897,1.0
2,FAR,train,0.9651081774821195,0.9758512873124996,0.7864669509031472,1.3193849553658896,1.861424057161486,0.9651081774821195,1.0
