M,experiment_id,p_covariables,n_variables_diag,rhat_max,ess_min,geweke_max,n_no_converge,converge,ocupacion_media,ocupacion_max,N_trunc,toca_truncamiento,pip_sd_max,contrato_ok,pip_media_activas
1,escenario_1_r01_m01,1,36,1.0009115113055578,84.96735195829422,2.1801971063895844,4,False,5.9037500000000005,35,35,True,0.0,True,1.0
2,escenario_1_r01_m02,2,8,1.0265959273608112,16.336344832803466,4.360933592978878,4,False,7.8095,35,35,True,0.0021213203435596446,True,0.5115624999999999
3,escenario_1_r01_m03,3,18,4.185268287595737,12.181517358636127,4.693951700818402,7,False,9.690833333333332,35,35,True,0.6049298513050914,True,0.2946666666666667
