metrica,columna,train,test,razon_test_train,M
1. MAE   (L^1),mae_f,0.788972102346019,0.7794138717149117,0.9878852108931536,1
2. RMSE  (L^2),rmse_f,0.983678406859045,0.9752358430604641,0.9914173537411087,1
3. Q0.95 |e| (L^inf),q95_abs_medio,1.2753608329066703,1.2511503734843268,0.9810167767445347,1
4. Winkler,winkler,5.069179702051457,4.974269068877378,0.9812769247190686,1
6. PICP,picp,0.889051878354204,0.8959583333333333,1.007768337424712,1
7. MPIW,mpiw,3.293146013570389,3.300909215637834,1.0023573816755937,1
1. MAE   (L^1),mae_f,0.7811899240021023,0.7799279883823964,0.9983845981867753,2
2. RMSE  (L^2),rmse_f,0.973900512871257,0.9738284876861408,0.9999260446173256,2
3. Q0.95 |e| (L^inf),q95_abs_medio,1.2644090596935555,1.2412039819827185,0.9816474917409552,2
4. Winkler,winkler,4.530077178695546,4.620852371645802,1.0200383325425806,2
6. PICP,picp,0.9394096601073345,0.9420416666666667,1.0028017665466964,2
7. MPIW,mpiw,3.7402895523962485,3.720758160133796,0.994778106884816,2
1. MAE   (L^1),mae_f,0.7841501046205946,0.7745525349633754,0.9877605453335201,3
2. RMSE  (L^2),rmse_f,0.9765135178287047,0.96942363489146,0.992739595706766,3
3. Q0.95 |e| (L^inf),q95_abs_medio,1.2691547729059869,1.2397225265780263,0.9768095688908222,3
4. Winkler,winkler,4.475632208466825,4.611856937464773,1.0304369802192956,3
6. PICP,picp,0.9440429338103756,0.948625,1.00485366292731,3
7. MPIW,mpiw,3.816774778781809,3.8242802328920087,1.0019664388247176,3
