M,bloque,modelo,mae_f,rmse_f,l2_medio,razon_agregacion,linf_medio,linf_max,q95_abs_medio,razon_linf_l1_media,ref_FAR,rel_FAR
1,test,(truncamiento FPCA),0.36272426661350415,0.47808101802608793,0.4167470473605402,0.8717079985338366,0.8118231498095556,2.087062736719091,0.7315262450848038,2.412892304640614,0.9769966030975802,0.4893374414100581
1,test,FAR,0.7813007144208197,0.9769966030975802,0.859940228865623,0.8801875320130813,1.2968349662393082,3.2803519947996547,1.2516833788799928,1.8566803346546705,0.9769966030975802,1.0
1,test,GBT,0.8340213542773469,1.038878205580178,0.9127950403853438,0.8786352774390709,1.359834891244943,3.2342859732063323,1.3166113643548614,1.8446611839581186,0.9769966030975802,1.0633386055656706
1,test,PSBPM-FD,0.7811579551181348,0.9764328966798109,0.8598741688732114,0.8806280204170333,1.296656314769032,3.2547751157624947,1.2514257366857753,1.8561510410107915,0.9769966030975802,0.9994230211077684
1,test,RF,0.8256774635383218,1.0286333745999674,0.9029695963384312,0.8778342397159664,1.3470273364548262,3.0240575228792856,1.3037340501519732,1.8453591885198766,0.9769966030975802,1.0528525599154308
1,test,media,0.9459634385142431,1.1656461277304517,1.0263379305262186,0.8804884313599785,1.4690399110602959,3.7811621579958987,1.4328614762344372,1.7479709331472606,0.9769966030975802,1.1930912799847573
1,test,persistencia,0.8534215356883618,1.0662657537399878,0.9283857419643541,0.8706888866194833,1.3683752249054681,4.192948985772611,1.3271973950808589,1.800444455665629,0.9769966030975802,1.0913709938799978
1,train,(truncamiento FPCA),0.3734411622660844,0.5013312696476191,0.4294628461268253,0.8566448417005598,0.8394162663046654,2.572464721020627,0.7561014101509306,2.471400765713623,0.98324514098186,0.5098741389629387
1,train,FAR,0.7884491296914186,0.98324514098186,0.86795399659928,0.8827442520921575,1.3193073107519573,3.588116180838213,1.2754520221260806,1.858679176078649,0.98324514098186,1.0
1,train,GBT,0.6930736636613525,0.8737840830779607,0.7752572297314999,0.8872411900667798,1.2240764391548093,3.4376722454443485,1.176873580427916,1.9356606140440393,0.98324514098186,0.8886736853897977
1,train,PSBPM-FD,0.7888822327378496,0.9833140327395836,0.8683632101421104,0.8830985638665076,1.3196416850684856,3.594305193616149,1.2757900219523195,1.8586417064846565,0.98324514098186,1.000070065698626
1,train,RF,0.6968777356800004,0.8785520082748973,0.7788940448711387,0.8865656643373401,1.2296061612697093,3.4686825301416846,1.1822468160827035,1.9451806330327175,0.98324514098186,0.8935228577865973
1,train,media,0.9886901093121286,1.2151124218007459,1.0666463310327177,0.8778169919882741,1.5162665011724124,3.9319459321391044,1.4801448103669412,1.7254487156527005,0.98324514098186,1.2358183846068593
1,train,persistencia,0.847907060561021,1.0593686321624012,0.9274975259765653,0.875519151518902,1.379386673151151,3.5987057913460703,1.3392457502645,1.7949434954078205,0.98324514098186,1.0774206634822776
2,test,(truncamiento FPCA),0.13489094529523007,0.18705753833014796,0.1603731818915769,0.8573467999377048,0.3946148819766684,1.3380903269651774,0.3007905264272777,3.0577266140520196,0.9769966070469976,0.19146180957120734
2,test,FAR,0.7813007172528513,0.9769966070469976,0.85994023270162,0.880187532381321,1.2968349728706794,3.2803510880040454,1.2516833854214702,1.8566803762771267,0.9769966070469976,1.0
2,test,GBT,0.8757679137956994,1.095565547946715,0.9608261448697969,0.8770138369817819,1.4328841792991667,3.5097083399851985,1.3865884024597421,1.8582880779264235,0.9769966070469976,1.1213606475646785
2,test,PSBPM-FD,0.7771499691666622,0.9710693194030793,0.8516662188096661,0.8770395704945031,1.2851021687626196,3.052505965189863,1.2387647249033207,1.8627108695048997,0.9769966070469976,0.993933154320941
2,test,RF,0.8051852554859953,1.004645144960489,0.8861392634419235,0.8820420502572318,1.3442766541733353,3.2122386264035234,1.2966591518262605,1.8973639882747524,0.9769966070469976,1.028299522960535
2,test,media,0.945963438514243,1.1656461277304517,1.0263379305262186,0.8804884313599785,1.4690399110602959,3.7811621579958987,1.4328614762344372,1.7479709331472606,0.9769966070469976,1.1930912751617972
2,test,persistencia,0.8895670989686255,1.1118911028340668,0.9740631411589324,0.8760418521887362,1.465290128606604,3.699059053643735,1.4182722693162915,1.815209570991891,0.9769966070469976,1.1380705877728603
2,train,(truncamiento FPCA),0.13542652041540085,0.1874468963830695,0.1611598133998435,0.8597625061259735,0.39369122857394984,1.164834754589123,0.30410030586664677,3.0723078580600585,0.98324514002867,0.19064106065920022
2,train,FAR,0.7884491291666722,0.98324514002867,0.8679539937032039,0.8827442500024923,1.3193073103576005,3.588116386094861,1.2754520227801123,1.8586791707730324,0.98324514002867,1.0
