M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,5.8115,25,17.0,35,False
1,1,2,5.996,35,17.0,35,True
2,1,1,5.7235,29,17.0,35,False
2,1,2,7.161,35,19.0,35,True
2,2,1,8.6335,35,20.0,35,True
2,2,2,9.72,28,20.0,35,False
3,1,1,6.4945,35,19.0,35,True
3,1,2,7.466,35,19.0,35,True
3,2,1,11.9625,35,23.00999999999999,35,True
3,2,2,11.954,35,24.00999999999999,35,True
3,3,1,10.977,33,18.00999999999999,35,False
3,3,2,9.291,34,19.0,35,False
