metrica,bloque,M,pct_ventanas_ganadas,n_ventanas
1. MAE  (L^1),train,1,0.016176470588235296,680
1. MAE  (L^1),train,2,0.052941176470588235,680
1. MAE  (L^1),train,3,0.09411764705882353,680
1. MAE  (L^1),train,4,0.16323529411764706,680
1. MAE  (L^1),train,5,0.275,680
1. MAE  (L^1),train,6,0.13529411764705881,680
1. MAE  (L^1),train,7,0.26323529411764707,680
1. MAE  (L^1),test,1,0.07473309608540925,281
1. MAE  (L^1),test,2,0.03914590747330961,281
1. MAE  (L^1),test,3,0.12455516014234876,281
1. MAE  (L^1),test,4,0.19217081850533807,281
1. MAE  (L^1),test,5,0.21352313167259787,281
1. MAE  (L^1),test,6,0.1423487544483986,281
1. MAE  (L^1),test,7,0.21352313167259787,281
2. RMSE (L^2),train,1,0.016176470588235296,680
2. RMSE (L^2),train,2,0.051470588235294115,680
2. RMSE (L^2),train,3,0.09852941176470588,680
2. RMSE (L^2),train,4,0.17058823529411765,680
2. RMSE (L^2),train,5,0.2897058823529412,680
2. RMSE (L^2),train,6,0.11470588235294117,680
2. RMSE (L^2),train,7,0.25882352941176473,680
2. RMSE (L^2),test,1,0.03558718861209965,281
2. RMSE (L^2),test,2,0.0498220640569395,281
2. RMSE (L^2),test,3,0.1423487544483986,281
2. RMSE (L^2),test,4,0.24199288256227758,281
2. RMSE (L^2),test,5,0.18149466192170818,281
2. RMSE (L^2),test,6,0.15302491103202848,281
2. RMSE (L^2),test,7,0.19572953736654805,281
3. E_max promedio por curva,train,1,0.030882352941176472,680
3. E_max promedio por curva,train,2,0.10441176470588236,680
3. E_max promedio por curva,train,3,0.21176470588235294,680
3. E_max promedio por curva,train,4,0.2823529411764706,680
3. E_max promedio por curva,train,5,0.06323529411764706,680
3. E_max promedio por curva,train,6,0.08088235294117647,680
3. E_max promedio por curva,train,7,0.22647058823529412,680
3. E_max promedio por curva,test,1,0.0498220640569395,281
3. E_max promedio por curva,test,2,0.06405693950177936,281
3. E_max promedio por curva,test,3,0.11743772241992882,281
3. E_max promedio por curva,test,4,0.20640569395017794,281
3. E_max promedio por curva,test,5,0.33451957295373663,281
3. E_max promedio por curva,test,6,0.08896797153024912,281
3. E_max promedio por curva,test,7,0.1387900355871886,281
4. E_max peor de la ventana,train,1,0.18676470588235294,680
4. E_max peor de la ventana,train,2,0.3014705882352941,680
4. E_max peor de la ventana,train,3,0.10588235294117647,680
4. E_max peor de la ventana,train,4,0.08676470588235294,680
4. E_max peor de la ventana,train,5,0.0661764705882353,680
4. E_max peor de la ventana,train,6,0.09411764705882353,680
4. E_max peor de la ventana,train,7,0.1588235294117647,680
4. E_max peor de la ventana,test,1,0.1601423487544484,281
4. E_max peor de la ventana,test,2,0.017793594306049824,281
4. E_max peor de la ventana,test,3,0.1708185053380783,281
4. E_max peor de la ventana,test,4,0.2099644128113879,281
4. E_max peor de la ventana,test,5,0.19217081850533807,281
4. E_max peor de la ventana,test,6,0.03914590747330961,281
4. E_max peor de la ventana,test,7,0.2099644128113879,281
