componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,3,1,0,2,0,0.3333333333333333,0.0,0.3333333333333333,,0.3731111111111111,
FPC 2,3,1,0,2,0,0.3333333333333333,0.0,0.3333333333333333,,0.4057777777777778,
FPC 3,3,1,0,2,0,0.3333333333333333,0.0,0.3333333333333333,,0.44,
