componente,param,variable,n_cadenas,n_post,ess_min,ess_mean,geweke_max,rhat,converge
1,beta_j,fpc_1_lag1,2,1500,1459.3197234719278,1479.659861735964,1.3945120631197458,0.9999544782636152,True
1,beta_j,fpc_2_lag1,2,1500,1351.3505779466989,1425.6752889733493,0.6469366473643027,0.9998213885061308,True
1,beta_j,fpc_3_lag1,2,1500,1500.0,1500.0,,,True
1,p_j,fpc_1_lag1,2,1500,60.479690552718715,100.03136271698546,3.3306277772419417,1.0090160307277574,False
1,p_j,fpc_2_lag1,2,1500,3.684956477350472,751.8424782386752,5.407956259689621,1.261988327762844,False
1,p_j,fpc_3_lag1,2,1500,1500.0,1500.0,,,True
2,beta_j,fpc_1_lag1,2,1500,1434.834965639382,1467.417482819691,0.31602143865598403,0.9997361778778524,True
2,beta_j,fpc_2_lag1,2,1500,1488.4697153746645,1494.2348576873324,0.7335234034703129,1.000847817217306,True
2,beta_j,fpc_3_lag1,2,1500,1500.0,1500.0,,,True
2,p_j,fpc_1_lag1,2,1500,8.289751670664044,754.1448758353321,1.4821516317902481,1.6362621404026871,False
2,p_j,fpc_2_lag1,2,1500,42.56176213610142,95.81426098368132,1.9761084020333377,1.1390484680146125,False
2,p_j,fpc_3_lag1,2,1500,1500.0,1500.0,,,True
3,beta_j,fpc_1_lag1,2,1500,1500.0,1500.0,,,True
3,beta_j,fpc_2_lag1,2,1500,749.2219571754738,905.0604473299995,1.73353721747722,1.0012942164026977,True
3,beta_j,fpc_3_lag1,2,1500,1287.8941425417295,1393.9470712708649,1.1967146229614507,1.003034283083145,True
3,p_j,fpc_1_lag1,2,1500,1500.0,1500.0,,,True
3,p_j,fpc_2_lag1,2,1500,3.8597747466236925,4.059919016091394,39.086734310896816,1.1018658454054424,False
3,p_j,fpc_3_lag1,2,1500,135.71420235382064,198.19255647856613,1.2664703972763742,1.134280636520117,False
