metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.6854692523032212,0.9403670587853978,0.8014473038380945
1. MAE  (L^1),test,mae_f,0.7564782767991021,0.9583210131638402,0.8344527357483934
2. RMSE (L^2),train,rmse_f,0.8527764601685841,1.1833397400817878,1.003597289683466
2. RMSE (L^2),test,rmse_f,0.957838750976332,1.1885367537981637,1.0355805007561008
3. E_max promedio por curva,train,linf_medio,1.676256975066244,2.2654794647656487,1.928511442469326
3. E_max promedio por curva,test,linf_medio,1.7887471883864254,2.2472427059988513,1.982640013861593
4. E_max peor de la ventana,train,linf_max,2.345210094972459,4.0078027175332105,3.1103767820808685
4. E_max peor de la ventana,test,linf_max,2.662167910475221,3.7111415381791564,3.018719617786419
5. MPIW,train,mpiw,3.0290715520264206,3.0980068139168426,3.0651650517423605
5. MPIW,test,mpiw,3.0186722221716122,3.107060912075941,3.0633889532873426
6. PICP puntual,train,picp,0.778,0.9193333333333333,0.8579135802469136
6. PICP puntual,test,picp,0.7793333333333333,0.8853333333333333,0.8444494720965309
7. PICPB curva completa,train,picp_simultaneo,0.0,0.3,0.13203703703703706
7. PICPB curva completa,test,picp_simultaneo,0.0,0.2,0.08190045248868778
8. Winkler,train,winkler,4.382504490069594,7.8021021560973,5.722870979556395
8. Winkler,test,winkler,4.836108500478437,7.43599803895426,5.9921785497520546
9. Winkler max promedio,train,winkler_max_medio,20.297129484275963,40.296989505721726,29.325905209273355
9. Winkler max promedio,test,winkler_max_medio,22.592940708334414,41.60916068308032,31.83681913235678
10. Winkler max peor ventana,train,winkler_max_glob,43.882653250138794,112.66543940238112,76.31706363046027
10. Winkler max peor ventana,test,winkler_max_glob,55.87141104810593,113.74812688958197,76.90609711668222
