componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,4,2,0,2,0,0.5,0.0,0.5,,0.41512499999999997,
FPC 2,4,2,0,2,0,0.5,0.0,0.5,,0.5113125,
FPC 3,4,3,0,1,0,0.75,0.0,0.75,,0.737,
FPC 4,4,4,0,0,0,1.0,0.0,1.0,,0.7869999999999999,
