t,regimen,p_regimen_0,z_lag,ambiguedad,ambiguo,b_t,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
1,0,0.6701205266719057,-0.11006149998166252,0.3298794733280943,1,0.0,,0.0,,,0,0.4346481111322881,train
2,0,0.8814130764274816,-0.29552007068708885,0.11858692357251843,0,1.2594220710474938e-07,0.6085063804079387,9.445665532856203e-08,0.608506474864594,0.608506474864594,0,1.1998480349116,train
3,0,0.9998324596515485,-0.8966377222097096,0.00016754034845145593,0,1.007537656837995e-06,1.6447498695810443,7.556532426284963e-07,1.644750625234287,1.644750625234287,0,1.4281514404267208,train
4,0,0.8781175588178549,-0.29140699978783025,0.12188244118214508,0,3.400439591828233e-06,1.8847076337755848,2.5503296938711746e-06,1.8847101841052787,1.8847101841052787,0,0.303207520741244,train
5,1,0.1012043421354436,0.3186797747595172,0.1012043421354436,0,8.06030125470396e-06,0.5079555674518469,6.04522594102797e-06,0.5079616126777879,0.5079616126777879,0,1.1804453236278745,train
6,0,0.9242779226020454,-0.35861226600150276,0.07572207739795456,0,1.5742775888093672e-05,1.5172589358781323,1.1807081916070255e-05,1.5172707429600485,1.5172707429600485,0,0.7233820902285869,train
7,1,0.03900616495698255,0.4405843182425595,0.03900616495698256,0,2.7203516734625863e-05,0.9481945163919613,2.0402637550969397e-05,0.9482149190295123,0.9482149190295123,0,-0.2953432122847391,train
8,0,0.36337776778628056,0.0873611565103203,0.36337776778628056,1,4.319817703692904e-05,0.34411191524965923,3.2398632777696774e-05,0.34414431388243694,0.34414431388243694,0,-1.0367729853788281,train
9,1,0.009363753488358766,0.5877277780705292,0.009363753488358773,0,6.448241003763168e-05,1.3356954023220426,4.836180752822376e-05,1.3357437641295709,1.3357437641295709,0,1.7803406035841496,train
10,0,0.8725285330067882,-0.28460632537496416,0.12747146699321177,0,9.18118689793623e-05,2.331135846374563,6.885890173452173e-05,2.3312047052762974,2.3312047052762974,0,0.5532505078284177,train
11,0,0.9971796804098898,-0.6919928696056399,0.0028203195901101985,0,0.00012594220710474937,0.868461097952343,9.445665532856204e-05,0.8685555546076716,0.8685555546076716,0,-0.6460782730122067,train
12,0,0.44224819760614953,0.03631791315365742,0.44224819760614953,1,0.00016762907765642142,0.7767562690227888,0.00012572180824231606,0.7768819908310312,0.7768819908310312,0,-0.0015937041254380497,train
13,0,0.668233989116926,-0.10876047244758881,0.331766010883074,1,0.0002176281338770069,0.10317419522550028,0.00016322110040775518,0.10333741632590804,0.10333741632590804,0,0.6166815973701464,train
14,0,0.9010074461025859,-0.32182832635717473,0.09899255389741413,0,0.0002766950290091344,0.7768899750532937,0.00020752127175685078,0.7770974963250505,0.7770974963250505,0,0.17938987883514637,train
15,0,0.9944641807634927,-0.6351073968405583,0.005535819236507256,0,0.0003455854162954323,0.5022366693358739,0.0002591890622215742,0.5024958583980954,0.5024958583980954,0,0.31526017198131207,train
16,0,0.999388468578575,-0.8083616002035613,0.0006115314214250045,0,0.0004250549489785291,0.7084366960312016,0.0003187912117338968,0.7087554872429356,0.7087554872429356,0,0.2433505585471743,train
17,0,0.8067405246954511,-0.216486876042152,0.1932594753045489,0,0.0005158592803010534,0.36104035725658495,0.0003868944602257901,0.3614272517168107,0.3614272517168107,0,0.13053213599766902,train
18,0,0.7584325542827733,-0.17531735602816054,0.24156744571722666,0,0.0006187540635056337,0.21039896762928215,0.0004640655476292253,0.21086303317691138,0.21086303317691138,0,-0.4916623767353299,train
19,0,0.6628196721111987,-0.10504270981070328,0.33718032788880126,1,0.0007344949518348984,0.6607044591161093,0.0005508712138761738,0.6612553303299855,0.6612553303299855,0,-0.8701718833527885,train
20,1,0.12435043432212406,0.2883776504044308,0.12435043432212406,0,0.0008638375985314759,1.0734239320441257,0.000647878198898607,1.0740718102430242,1.0740718102430242,0,1.7800209696388265,train
21,0,0.9787553680332751,-0.507173999118052,0.02124463196672488,0,0.001007537656837995,2.2507196759117996,0.0007556532426284963,2.2514753291544283,2.2514753291544283,0,1.7905483579289292,train
22,1,0.353732491168567,0.09381571577136259,0.353732491168567,1,0.0011663507799970839,2.1644608327819097,0.0008747630849978129,2.1653355958669076,2.1653355958669076,1,-2.1686730406356216,train
23,1,0.5303519240498247,-0.01903863422476422,0.4696480759501753,1,0.0013410326212513713,2.7071059444337013,0.0010057744659385285,2.70811171889964,2.70811171889964,1,1.714192903554754,train
24,1,0.06387813240444723,0.3807524388339151,0.06387813240444723,0,0.0015323388338434856,2.131625659830361,0.0011492541253826142,2.132774913955744,2.132774913955744,0,-1.4343043573131298,train
25,1,0.5018565971328234,-0.0011634539166007038,0.4981434028671766,1,0.0017410250710160552,1.7898385501476042,0.0013057688032620414,1.7911443189508662,1.7911443189508662,1,2.6627801186108453,train
26,1,0.001116317923945756,0.7643508517556906,0.001116317923945731,0,0.001967846986011709,3.368792930569793,0.0014758852395087819,3.3702688158093017,3.3702688158093017,0,-1.9821517299329487,train
27,0,0.5996353685926186,-0.06310085309660242,0.40036463140738143,1,0.002213560232073075,2.45136186786942,0.0016601701740548063,2.4530220380434744,2.4530220380434744,1,-1.46101328926994,train
28,0,0.9564045483891499,-0.42760139050744783,0.0435954516108501,0,0.002478920462442782,1.889259821958993,0.0018591903468320864,1.891119012305825,1.891119012305825,0,0.7738075591790406,train
29,0,0.6583445638605984,-0.10198733354834165,0.34165543613940164,1,0.0027646833303634584,0.9623129248456646,0.0020735124977725936,0.9643864373434371,0.9643864373434371,0,-0.45026157626692426,train
30,1,0.2639268898868142,0.1578214079970778,0.2639268898868142,1,0.0030716044890777322,0.5833975548688962,0.0023037033668082993,0.5857012582357045,0.5857012582357045,0,1.7185212599399304,train
31,0,0.6403167260519657,-0.08982637914029228,0.35968327394803434,1,0.003400439591828233,2.1248381231635354,0.0025503296938711745,2.1273884528574065,2.1273884528574065,1,1.1256789662013191,train
32,1,0.21453993860007664,0.19769178985843716,0.21453993860007664,0,0.0037519442918575886,1.4072754873847728,0.0028139582188931914,1.4100894456036661,1.4100894456036661,0,1.0947755805583215,train
33,0,0.44745457209094824,0.03302375205380649,0.44745457209094824,1,0.0041268742424084275,1.401542474552242,0.0030951556818063206,1.4046376302340484,1.4046376302340484,1,0.9738278468416994,train
34,1,0.7333982440775215,-0.1557808202653375,0.2666017559224785,1,0.004525985096723378,1.18544991811257,0.0033944888225425334,1.1888444069351125,1.1888444069351125,1,-0.9332305547997171,train
35,0,0.7368442810208907,-0.15841166677404825,0.2631557189791093,1,0.00495003250804507,1.173551904850939,0.003712524381033802,1.177264429231973,1.177264429231973,1,-0.8813283689515885,train
