variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd,FPC 3,FPC 3_sd
fpc_1_lag1,0.028249999999999997,0.001767766952966331,,,,
fpc_1_lag2,0.027249999999999996,0.002474873734152958,,,,
fpc_1_lag3,0.33225,0.42673894244608146,,,,
fpc_1_lag4,0.025000000000000022,0.008485281374238578,,,,
fpc_2_lag1,,,0.04225000000000001,0.011667261889578005,,
fpc_2_lag2,,,0.029249999999999998,0.0045961940777125235,,
fpc_2_lag3,,,0.32825,0.3128947506750473,,
fpc_2_lag4,,,0.026749999999999996,0.008131727983645264,,
fpc_3_lag1,,,,,0.023999999999999966,0.0021213203435596446
fpc_3_lag2,,,,,0.5217499999999999,0.6763476362049328
fpc_3_lag3,,,,,0.3615,0.4871965722375312
fpc_3_lag4,,,,,0.19075000000000003,0.241476965775206
