bloque,FPC,RMSE,R2,sd_ratio,CRPS,Cob95,Ancho,PIT_ks,PIT_forma,n
train,FPC 1,1.0012226656945609,0.0001111364094464884,0.0014169001617322947,0.5636935463154004,0.942652329749104,3.982554090674633,0.021328315412186383,aproximadamente uniforme,279
train,FPC 2,1.0016871149108886,8.919798320827788e-05,0.001342802472570651,0.5679407662130672,0.946236559139785,3.938854191230617,0.025959856630824396,aproximadamente uniforme,279
train,FPC 3,0.5169853214493961,0.732980477205061,0.8207521108943399,0.29260284395617175,0.9713261648745519,2.2165683050072875,0.03520501792114694,aproximadamente uniforme,279
train,FPC 4,1.0006416700429825,8.17981603702389e-05,0.0008819562313913698,0.5713433940077268,0.9605734767025089,3.8906113662386455,0.030931899641577054,aproximadamente uniforme,279
train,FPC 5,0.9960941734746404,0.0001121138746482675,0.0014631269362565483,0.5611508124102944,0.953405017921147,3.970200422983016,0.030892473118279556,aproximadamente uniforme,279
test,FPC 1,0.9676999294788425,-0.03156285743773268,0.0015262171929816574,0.5404565614956466,0.9416666666666667,3.984066757808129,0.08542222222222218,aproximadamente uniforme,120
test,FPC 2,0.8801910778163752,-0.05906404373678975,0.00134558131504873,0.49894285685891143,0.975,3.941369206632177,0.12460000000000004,aproximadamente uniforme,120
test,FPC 3,0.5667667026311225,0.6602493921720654,0.8245648611371796,0.32128294610121894,0.9166666666666666,2.2421563419808326,0.07653333333333334,aproximadamente uniforme,120
test,FPC 4,1.0583516743847647,-0.013376247615737302,0.0008597243418907016,0.5992585834514682,0.9083333333333333,3.88878384642303,0.05415555555555551,aproximadamente uniforme,120
test,FPC 5,0.9969551098342111,-0.017235812185117494,0.0014516119392283876,0.5626931493909718,0.9583333333333334,3.969372285529971,0.09133333333333332,aproximadamente uniforme,120
