bloque,modelo,FPC1,FPC2,FPC3,FPC4
test,FAR1,0.975207207065741,0.8846721057077902,0.5618607224794506,1.0359683481951034
test,GBT,1.0740133307088253,1.0541632269336285,0.6501679230742933,1.0821730821258362
test,RF,0.9809491373798237,0.907556059147638,0.6018739544819666,1.0430009804061406
test,VAR,0.9748526662669316,0.8846998037142122,0.5618263426718276,1.0361587131017471
test,media,0.9685023781039335,0.880445256487542,1.0527893217041981,1.059685307854166
test,persistencia,1.407783048601729,1.2144153088505978,0.5922398027137576,1.5588927346032353
train,FAR1,0.9972527490664828,0.9965236233617479,0.5058307328048619,0.9916680220321393
train,GBT,0.2329136870769835,0.21423825358969986,0.11036253772553219,0.22332270110764627
train,RF,0.8477744661073482,0.8499364027823237,0.44342866248243107,0.824167247926699
train,VAR,0.997249901296539,0.9965236172318429,0.5058294807464979,0.9916657641639025
train,media,1.0012861066117855,1.0017314252366885,1.000457108457531,1.0008367121985609
train,persistencia,1.4082994685748107,1.397138962959647,0.5341812621881005,1.3907536158327003
