experiment_id,escenario_5_r01
escenario_id,5
bloque_del_anexo,2
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
nivel,0.95
S_scores,45000
S_funcional,500
M_retenidas,5
J_generador,10
fourier_con_dinamica,3
fpc_con_dinamica,3
retiene_direccion_informativa,True
es_caso_nulo,True
fraccion_senal_predecible_retenida,1.0
fraccion_varianza_retenida,0.9689174184476711
rmse_scores_train,0.9033261891144937
rmse_scores_test,0.8939928988290632
r2_scores_test,0.10780208623933762
crps_scores_test,0.5045268194596434
mise_train,1.8094141734618803
mise_test,1.6569054599445219
mise_truncamiento_test,0.05713249210356647
mise_bspline,0.010796380548679072
energy_test,7.252882982320468
cobertura_puntual_test,0.9576666666666667
