experiment_id,escenario_5_r01
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
n_lags,1
M_fpca,5
n_train_origenes,279
n_test_origenes,120
w_ventana,20
p_bic_libre,1
far_hs_norm,0.908222
far_hs_referencia,"phi = 0.9 en una sola dirección de Fourier, 0 en el resto"
far_radio_espectral,0.857438
mise_truncamiento_test,0.05713249
mise_test_VAR,1.64493175
mise_test_FAR1,1.6456678
mise_test_RF,1.68416097
mise_test_GBT,2.25375079
mise_test_media,1.79985262
mise_test_persistencia,3.25699213
mise_test_PSBPM-FD,1.65690546
