M,grupo,n,sarle_modelo,sarle_oraculo,razon
2,deterministas,259,0.36795293066101753,0.3858247685206641,0.9536788736291579
2,ambiguos,140,0.3765837206028213,0.4725528132348507,0.7969135090423546
2,bimodales,70,0.49028675611787126,0.5806563623512816,0.8443664582138185
