bloque,modelo,FPC1,FPC2
test,FAR1,1.1039458408190332,1.1086771601784995
test,GBT,1.0604461249940493,1.280809583939096
test,RF,1.000806060022305,1.1208674622206927
test,VAR,1.1048035507161253,1.108626803208581
test,media,1.1080084059399482,1.1129670986098377
test,persistencia,1.4857429018649928,1.4454611652580602
train,FAR1,0.9978827697498227,0.9910646013838814
train,GBT,0.37008873638397627,0.44621087066088405
train,RF,0.7268647261322418,0.8356992642914328
train,VAR,0.9978719602813739,0.9910619775547508
train,media,0.999095576234489,1.0004151295837693
train,persistencia,1.4001991550990105,1.3227628942209118
