t,b_t,b_t_norm,q_interaccion,q_lineal,razon_q_lineal,estrato_q,nivel_curva,nivel_sin_tend,bloque
1,0.0,0.0,0.2941533904034343,0.3658905929458423,0.8039381062933578,1,0.7983519068460231,0.7983519068460231,train
2,0.007518796992481203,0.002506265664160401,0.24031542848861673,0.4771817699436145,0.5036140180229711,1,1.4820503363875008,1.4745315393950198,train
3,0.015037593984962405,0.005012531328320802,0.27416645040761173,0.9434129825579971,0.2906112757365591,1,0.2079861401124549,0.19294854612749252,train
4,0.022556390977443608,0.007518796992481203,0.346355700288729,0.2331918017217344,1.4852824916290668,2,-0.1761682482688972,-0.19872463924634085,train
5,0.03007518796992481,0.010025062656641603,0.316885033429729,0.17926080026207672,1.7677318910015332,2,-2.491425100160718,-2.5215002881306425,train
6,0.03759398496240601,0.012531328320802004,1.1240168878277674,1.559434089273075,0.7207851204225786,3,1.190740180631086,1.1531461956686795,train
7,0.045112781954887216,0.015037593984962405,0.2594194796164535,0.7853809566478248,0.33031037666575436,1,-0.09703031612689537,-0.1421430980817826,train
8,0.05263157894736842,0.017543859649122806,0.3463727272216029,0.08410608144917185,4.11828397249642,2,0.41881403913819504,0.36618246019082656,train
9,0.06015037593984962,0.020050125313283207,0.37091285390224227,0.2726179365115004,1.3605592451052657,2,0.5357221697201088,0.4755717937802592,train
10,0.06766917293233082,0.022556390977443608,0.2885094452459013,0.2985060352256683,0.9665112634248426,1,-0.4957095744591333,-0.563378747391464,train
11,0.07518796992481203,0.02506265664160401,0.2815260231093848,0.3708513377834461,0.75913444128865,1,-1.6340040169198247,-1.7091919868446368,train
12,0.08270676691729323,0.02756892230576441,0.4185312888395886,1.0600532724751242,0.39482099598858617,2,-0.4427022772730888,-0.5254090441903818,train
13,0.09022556390977443,0.03007518796992481,0.31158564339062034,0.3806969126274068,0.8184611775288375,1,-2.4684918146834254,-2.5587173785932,train
14,0.09774436090225563,0.03258145363408521,1.2494046568037291,1.6345645461364826,0.76436544507029,3,0.4791103248866794,0.38136596398442374,train
15,0.10526315789473684,0.03508771929824561,0.17265986729691046,0.2979614975482731,0.5794703970734931,0,-0.3772172364575925,-0.48248039435232937,train
16,0.11278195488721804,0.03759398496240601,0.3681223467741322,0.34977981437144856,1.0524402256763874,2,-0.3757093510899841,-0.488491305977202,train
17,0.12030075187969924,0.040100250626566414,0.2307046860082463,0.33751044486730264,0.6835482857395757,1,-0.22596520233688863,-0.3462659542165879,train
18,0.12781954887218044,0.042606516290726815,0.44237093120044396,0.41681010229981363,1.0613248785468359,3,1.1700285466742586,1.0422089978020785,train
19,0.13533834586466165,0.045112781954887216,0.09484538360884089,0.6611919097679093,0.1434460739880096,0,1.6794591607909513,1.5441208149262893,train
20,0.14285714285714285,0.047619047619047616,0.21501753199378107,0.9314552226770957,0.23084043844405008,1,2.409892517283644,2.2670353744265013,train
21,0.15037593984962405,0.05012531328320802,1.0441783834918092,1.4656834793898388,0.7124173794511887,3,3.5205407941666893,3.3701648543170646,train
22,0.15789473684210525,0.05263157894736842,1.5121701965530963,2.2510829464656172,0.6717523221111537,3,1.8551817233940067,1.6972869865519014,train
