M,FPC,variable,media_c1,media_c2,n_cadenas,n_post,ess_min,ess_mean,geweke_max,rhat,converge
2,1,atomos_global,1.0853329997107208,1.0952500081122438,2,2000,17.061667996625165,19.86147643918751,1.1463609544441578,1.0029018167291952,False
2,1,atomos_punto,1.0865649097500187,1.0997616974915856,2,2000,17.190675301370376,20.782037951628233,1.1745594377232467,1.004221892726511,False
2,1,senal_gating,-0.0012319100392983342,-0.0045116893793418714,2,2000,28.10150306610924,29.180259743463736,1.3283523308870253,1.014153559602172,False
2,1,sd_argumento,0.15036394386391913,0.15386324747465188,2,2000,11.705804773638594,20.956631185597473,2.0553716587545514,0.9999405100508675,False
2,1,alpha,2.0431732747066804,2.153499772924996,2,2000,4.997328119447051,11.779410165194493,4.421699169650701,1.015966219383865,False
2,1,psi_0,0.7936443563047965,0.7291667763430774,2,2000,13.82144440870654,19.803200471837005,2.1560376433451762,1.0025703215208306,False
2,1,psi_1,0.0017357042600487595,0.0008129108924955939,2,2000,241.66462556350444,914.282053055383,1.0332312961381644,1.0009297176043483,True
2,1,psi_2,0.0005571204479793587,0.00578671021384541,2,2000,97.78721637130293,943.3731944438798,1.6240434506663468,1.0047858302367467,False
2,1,psi_3,0.00045200885193172503,0.0003716526409800619,2,2000,1132.6277181069015,1436.5354891108886,1.8837286367229353,0.999826425756161,True
2,1,Gamma_0,0.015486302614600444,0.039153459643753455,2,2000,31.344376469581505,31.673555075414626,1.7271973046918316,1.0007319034976154,False
2,1,Gamma_1,0.19282516493354573,-0.09860129387946896,2,2000,11.296362197677091,12.60196790485658,1.64866959270476,1.1418112727875245,False
2,1,Gamma_2,0.363330369149175,-0.005526686963339841,2,2000,5.768801763983663,6.453633791320936,3.306249749285015,1.203702404584047,False
2,1,Gamma_3,-0.05910878811426596,0.09927857566338538,2,2000,4.389799798748018,5.646611874334042,4.964379241972398,1.0742664998771978,False
2,2,atomos_global,3.663247201232403,2.7361692751659485,2,2000,4.028681071685513,10.852203565701124,7.060398200121334,1.4782699735783063,False
2,2,atomos_punto,3.630254963247544,2.7053759017928427,2,2000,4.116270242028517,11.358261925346538,6.6141163374954886,1.5263075575000529,False
2,2,senal_gating,0.032992237984858834,0.030793373373105892,2,2000,6.906093502629435,7.338626996720622,10.427641797343671,0.9999738624703175,False
2,2,sd_argumento,0.018700215637459997,0.07618357842328811,2,2000,6.486862681662622,9.815410444674018,9.38634604966111,1.2963985051223414,False
2,2,alpha,-0.07189219329513037,0.2661768415496946,2,2000,4.663625446297602,5.653037771276587,7.760025970372975,1.4955720176461842,False
2,2,psi_0,0.06459381897778,0.5390957305236952,2,2000,6.759102862842856,13.588447227373761,4.462421985633618,1.22376872687224,False
2,2,psi_1,0.08667079554753498,0.0004513054089550059,2,2000,6.369583335807884,711.9079531352592,18.669198886492563,1.0934526500416895,False
2,2,psi_2,0.0005206364018877288,0.025931218305066086,2,2000,9.851142303834548,788.7623499295829,4.011764521818199,1.0551459306989206,False
2,2,psi_3,0.053675770371994565,0.15534447840271987,2,2000,5.047770155998045,6.709155556057533,9.024872925765884,1.048306404584076,False
2,2,Gamma_0,-0.04780045951051669,-0.017725699960823845,2,2000,3.893253309618163,10.517520315685879,7.126314927488099,1.0083680851066623,False
2,2,Gamma_1,-0.2606587555348368,-0.08657565686270469,2,2000,8.215454965492032,8.258397890686076,2.917740471026949,3.4411389583214897,False
2,2,Gamma_2,-0.15345298787121095,0.15694665391181306,2,2000,3.573998876415199,4.646837235856514,10.521302328846998,2.7919126904885765,False
2,2,Gamma_3,0.0667643703572247,0.07938437747223534,2,2000,2.8620609297818667,3.8432246169842506,8.388543627012508,1.0024040333956103,False
