variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd,FPC 3,FPC 3_sd,FPC 4,FPC 4_sd
fpc_1_lag1,1.0,0.0,,,,,,
fpc_1_lag2,0.043999999999999984,0.004949747468305837,,,,,,
fpc_1_lag3,0.047750000000000015,0.006717514421272168,,,,,,
fpc_1_lag4,0.044499999999999984,0.0014142135623730963,,,,,,
fpc_2_lag1,,,1.0,0.0,,,,
fpc_2_lag2,,,0.04600000000000004,0.01131370849898477,,,,
fpc_2_lag3,,,0.13674999999999998,0.12763277400417183,,,,
fpc_2_lag4,,,0.2765,0.3295117600329312,,,,
fpc_3_lag1,,,,,1.0,0.0,,
fpc_3_lag2,,,,,0.06,0.004949747468305837,,
fpc_3_lag3,,,,,0.31125,0.3121876438938607,,
fpc_3_lag4,,,,,0.0615,0.02262741699796954,,
fpc_4_lag1,,,,,,,0.03875000000000001,0.009545941546018361
fpc_4_lag2,,,,,,,0.24424999999999997,0.2563262081801235
fpc_4_lag3,,,,,,,0.07750000000000001,0.04596194077712555
fpc_4_lag4,,,,,,,0.3225,0.41082903986938407
