grupo,sarle
ambiguos,0.4559294970373895
ambiguos,0.4338163204332334
ambiguos,0.4890397379673681
ambiguos,0.4831486807780844
ambiguos,0.43165870533381157
ambiguos,0.4180829983723153
ambiguos,0.39580159482583566
ambiguos,0.49890399874322316
ambiguos,0.4790697124857423
ambiguos,0.4417593914466317
ambiguos,0.4340069088162188
ambiguos,0.33706595927703875
ambiguos,0.49645934326698915
ambiguos,0.5035805302150385
ambiguos,0.4796788287287038
ambiguos,0.4315624911207484
ambiguos,0.476401343943091
ambiguos,0.4979588612514896
ambiguos,0.37877299600089154
ambiguos,0.46579368610122746
ambiguos,0.3826364732699883
ambiguos,0.4843308030778244
ambiguos,0.5073578603568029
ambiguos,0.4794339786933647
ambiguos,0.4462934036349037
ambiguos,0.4087851008596797
ambiguos,0.451698032712607
ambiguos,0.40291685821911366
ambiguos,0.5158739268248311
ambiguos,0.5112941599578787
ambiguos,0.5053159552859919
ambiguos,0.41416859368627484
ambiguos,0.4923030436734421
ambiguos,0.498308546853523
ambiguos,0.40747961210589356
ambiguos,0.49256378995435574
ambiguos,0.4919541913991082
ambiguos,0.4728843979474867
ambiguos,0.40700921978723187
ambiguos,0.4415492947810051
ambiguos,0.5081517803595713
ambiguos,0.43567620248828604
ambiguos,0.43045195264571934
ambiguos,0.4752336696000848
ambiguos,0.3950893187596164
ambiguos,0.41322444178216083
ambiguos,0.4090531908852927
deterministas,0.5182640384568522
deterministas,0.32898777399324275
deterministas,0.4169487758557658
deterministas,0.5077844877275239
deterministas,0.4235776962581422
deterministas,0.4956387064653343
deterministas,0.5007795401728652
deterministas,0.47588612483352605
deterministas,0.4781159046597684
deterministas,0.5210469842043763
deterministas,0.35017295077985156
deterministas,0.4692794341002361
deterministas,0.46335636229752347
deterministas,0.4700457874114901
deterministas,0.4825232934441603
deterministas,0.4184999829798352
deterministas,0.4377844373003999
deterministas,0.4628448963032726
deterministas,0.41099932257129934
deterministas,0.377161492290244
deterministas,0.4875817321980094
deterministas,0.37807204600584315
deterministas,0.3315685609359943
deterministas,0.4899854164535173
deterministas,0.47293903652794805
deterministas,0.5132665043747889
deterministas,0.46815396152691346
deterministas,0.5495515681076544
deterministas,0.3636662951546911
deterministas,0.3629825076116522
deterministas,0.5016228352781965
deterministas,0.405386265025826
deterministas,0.38555560972039293
deterministas,0.5118934019129464
deterministas,0.49887979460489595
deterministas,0.49993730124722835
deterministas,0.4865324666296929
deterministas,0.46888783867260825
deterministas,0.34005240915584645
deterministas,0.1952866592775408
deterministas,0.27924494814533385
deterministas,0.28077330358976754
deterministas,0.4597564687894063
deterministas,0.5147213296462275
deterministas,0.5432619676873777
deterministas,0.4308415057034477
deterministas,0.47055129709342697
deterministas,0.27808509912174834
deterministas,0.4279969156906523
deterministas,0.4265177730740238
deterministas,0.5381768605873988
deterministas,0.5554959766872656
deterministas,0.5226052488718865
deterministas,0.4975057269071244
deterministas,0.4268599235874227
deterministas,0.4281193189480012
deterministas,0.4744003145787676
deterministas,0.456231083975863
deterministas,0.48417493608196394
deterministas,0.316282729918008
deterministas,0.3226637635615626
deterministas,0.48246584242729956
