modelo,MISE_test,MISE_train,salto
(truncamiento FPCA),0.005614588411106596,0.00524108081981775,1.071265375240261
RF,2.2907222047495477,1.619589389745402,1.4143845466347784
GBT,2.7250972369770654,0.17247336556150575,15.800104718228324
PSBPM-FD,2.72840623970966,2.674528574970016,1.0201447332602336
VAR,2.930634061841648,2.8881789745411273,1.0146996040324219
FAR1,2.9310745798766895,2.888266345172507,1.0148214290471282
persistencia,3.974581130314608,3.931543590907083,1.010946728279209
media,4.367629983459558,4.305588942800698,1.0144094202867642
