bloque,modelo,FPC1,FPC2,FPC3
test,FAR1,0.7930719203713493,1.0568567990354258,1.0567415200624608
test,GBT,0.7613972349595567,1.1445861486107112,1.1801532054564425
test,RF,0.6895590273710425,1.072905991647688,1.083781775761765
test,VAR,0.7930365510802007,1.0568802994585547,1.0563434074608804
test,media,0.9865148519302025,1.1209359483754162,1.07471178872357
test,persistencia,0.9136584295433687,1.2528764793493932,1.4171268990182737
train,FAR1,0.8034852276248926,0.9326660156799341,0.987566038465057
train,GBT,0.19137303787136611,0.2901469436781638,0.3040752811622481
train,RF,0.5968135362883837,0.7925650135931562,0.8465256960375848
train,VAR,0.8034846448379883,0.9326648645386845,0.9875638709945097
train,media,1.0005047680895078,1.0004931924694023,1.0012196322098668
train,persistencia,0.9298575080471648,1.142286739315185,1.38908453124443
