t,regimen,regimen_idx,p_regimen1,ambiguedad,z_lag,nivel_curva
1,2,1,,,,2.396690274049227
2,2,1,0.0364560478734799,0.03645604787347989,0.8966902740492266,2.5767194746070468
3,2,1,0.015642098649819358,0.015642098649819358,1.0767194746070468,3.0435109818354498
4,2,1,0.0010108632903991332,0.0010108632903991221,1.54351098183545,1.9227828958707027
5,2,1,0.19889750783390248,0.19889750783390248,0.4227828958707026,2.2396679213509536
6,2,1,0.06952528892766519,0.06952528892766519,0.7396679213509539,2.0496737844276436
7,2,1,0.1358082454965301,0.1358082454965301,0.5496737844276431,1.4657723150202173
8,1,0,0.5272884268473207,0.4727115731526793,-0.03422768497978259,-2.80981654669202
9,1,0,0.9955987791713308,0.004401220828669228,-1.3098165466920202,-1.4693508574420788
10,1,0,0.4755608282575675,0.4755608282575675,0.03064914255792109,-2.084581505926638
11,1,0,0.8788310197599188,0.12116898024008116,-0.5845815059266378,-1.8727050894045445
12,1,0,0.7719881038267585,0.22801189617324147,-0.37270508940454444,-1.7417594762954953
13,1,0,0.6856363469954402,0.3143636530045598,-0.24175947629549538,-1.1265772588699317
14,2,1,0.22757841878715102,0.22757841878715102,0.37342274113006857,1.767687935735665
15,2,1,0.2961949856735393,0.2961949856735393,0.26768793573566496,2.3110830977014745
16,1,0,0.05238388384641636,0.052383883846416346,0.8110830977014744,-1.0889488854692384
17,1,0,0.20550935848246882,0.20550935848246882,0.41105111453076165,-0.9366233255638595
18,2,1,0.12992338979703982,0.12992338979703982,0.5633766744361405,1.779376243013479
19,1,0,0.2881653267746185,0.2881653267746185,0.279376243013479,-1.998419331768682
20,1,0,0.8405785860627,0.15942141393730003,-0.49841933176868203,-1.0626023996623815
21,2,1,0.19084267452458364,0.19084267452458364,0.4373976003376186,2.4620177218348553
22,2,1,0.02717507045306562,0.02717507045306561,0.9620177218348553,1.1454643207968318
23,1,0,0.7608599021306658,0.2391400978693342,-0.35453567920316814,-1.249405496495525
24,2,1,0.30811905509079424,0.30811905509079424,0.25059450350447504,1.3599883972609825
25,2,1,0.6102701492942635,0.3897298507057365,-0.1400116027390177,1.8524017471215242
26,2,1,0.24046626686442568,0.24046626686442568,0.35240174712152406,1.3298496814741227
27,1,0,0.6331849312712179,0.3668150687287821,-0.1701503185258772,-1.4710448843507704
28,2,1,0.4769100667016434,0.4769100667016434,0.028955115649229504,2.931596181018344
29,2,1,0.0020969793015981875,0.0020969793015981897,1.4315961810183444,2.0718346172245155
30,2,1,0.12638041849532655,0.12638041849532655,0.5718346172245155,2.8087326868270672
31,2,1,0.00442927377451395,0.004429273774513964,1.3087326868270674,2.5126529512996814
32,2,1,0.021417981403287906,0.021417981403287878,1.012652951299682,2.862432385431294
33,2,1,0.0032163914158870434,0.003216391415887032,1.362432385431294,3.0361458940146404
34,2,1,0.0010621098438517173,0.001062109843851744,1.5361458940146409,2.3818211645824343
35,1,0,0.038896108170106115,0.038896108170106136,0.8818211645824344,-1.1811892150345569
36,2,1,0.2618600255584034,0.2618600255584034,0.318810784965443,2.028403989662476
37,2,1,0.1452996159583031,0.1452996159583031,0.5284039896624761,2.2061662017489314
38,2,1,0.07892605481556703,0.07892605481556703,0.7061662017489312,2.373787486831766
39,1,0,0.04026882601080535,0.040268826010805336,0.8737874868317657,-1.4349641513597935
40,2,1,0.44825485107879576,0.44825485107879576,0.06503584864020631,1.561777114266782
41,2,1,0.4508341175193378,0.4508341175193378,0.06177711426678197,0.5391994869483036
42,1,0,0.9726720103029348,0.02732798969706518,-0.9608005130516964,-1.3973258763259027
43,2,1,0.4186500256020841,0.4186500256020841,0.10267412367409706,1.2693002484797071
44,1,0,0.677743996001096,0.322256003998904,-0.23069975152029282,-1.8113004187274508
45,2,1,0.7332265696301994,0.2667734303698006,-0.3113004187274508,1.6890699418538693
46,2,1,0.35266334061179117,0.35266334061179117,0.18906994185386933,2.8051215552051
47,2,1,0.004523894902801444,0.0045238949028014175,1.3051215552050999,2.352516598930039
48,2,1,0.04409411653559304,0.04409411653559303,0.8525165989300395,2.9484594493662057
49,2,1,0.001884235808255651,0.001884235808255641,1.448459449366206,3.0924164720856
50,2,1,0.0007241879646801018,0.0007241879646801008,1.5924164720855998,2.079757625902326
51,1,0,0.12312311166029144,0.12312311166029144,0.5797576259023257,-1.1414388403420996
52,2,1,0.23664931257366606,0.23664931257366606,0.35856115965790025,1.7733241420733221
53,2,1,0.2923101951137438,0.2923101951137438,0.2733241420733222,1.7850515432479044
54,2,1,0.28430389093636144,0.28430389093636144,0.2850515432479044,3.1364806063371953
55,2,1,0.0005321354061057544,0.0005321354061057493,1.6364806063371957,2.9603516113021797
56,2,1,0.0017462116943690726,0.0017462116943690598,1.46035161130218,2.4675304921881076
57,2,1,0.026491406262637688,0.026491406262637684,0.9675304921881074,3.086557637796756
58,2,1,0.0007540631580055281,0.0007540631580055246,1.5865576377967558,3.0706614952513274
59,2,1,0.0008409321989373019,0.0008409321989373275,1.5706614952513276,2.006049796146445
60,2,1,0.15574521866003743,0.15574521866003743,0.5060497961464452,2.6645237921946614
61,2,1,0.009928272499962785,0.00992827249996281,1.1645237921946618,2.8283794854666766
62,2,1,0.003944791412166432,0.003944791412166415,1.3283794854666766,2.7686238219194865
63,2,1,0.005586394392429187,0.005586394392429195,1.268623821919487,2.3454712063305956
64,2,1,0.045423900909428744,0.045423900909428716,0.8454712063305951,2.0536995579016257
65,2,1,0.13406070402241754,0.13406070402241754,0.5536995579016254,2.195234607717241
66,2,1,0.08219322055238187,0.08219322055238187,0.6952346077172412,1.4107426885952965
67,2,1,0.5708405808513812,0.42915941914861877,-0.08925731140470357,1.6051583084335361
68,1,0,0.4167102834664837,0.4167102834664837,0.10515830843353621,-1.6176662101847032
