componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,3,1,0,2,0,0.3333333333333333,0.0,0.3333333333333333,,0.37744444444444447,
FPC 2,3,1,0,2,0,0.3333333333333333,0.0,0.3333333333333333,,0.3804444444444444,
FPC 3,3,1,0,2,0,0.3333333333333333,0.0,0.3333333333333333,,0.3942222222222222,
