t,bloque,I_t_puntual,I_t_simultaneo
2,train,1.0,1.0
3,train,1.0,1.0
4,train,1.0,1.0
5,train,1.0,1.0
6,train,1.0,1.0
7,train,1.0,1.0
8,train,1.0,1.0
9,train,1.0,1.0
10,train,1.0,1.0
11,train,0.9795918367346939,0.0
12,train,1.0,1.0
13,train,1.0,1.0
14,train,1.0,1.0
15,train,1.0,1.0
16,train,1.0,1.0
17,train,1.0,1.0
18,train,1.0,1.0
19,train,1.0,1.0
20,train,1.0,1.0
21,train,1.0,1.0
22,train,1.0,1.0
23,train,1.0,1.0
24,train,1.0,1.0
25,train,1.0,1.0
26,train,1.0,1.0
27,train,1.0,1.0
28,train,1.0,1.0
29,train,1.0,1.0
30,train,1.0,1.0
31,train,1.0,1.0
32,train,1.0,1.0
33,train,1.0,1.0
34,train,1.0,1.0
35,train,0.9795918367346939,0.0
36,train,1.0,1.0
37,train,1.0,1.0
38,train,1.0,1.0
39,train,1.0,1.0
40,train,1.0,1.0
41,train,1.0,1.0
42,train,1.0,1.0
43,train,1.0,1.0
44,train,1.0,1.0
45,train,1.0,1.0
46,train,1.0,1.0
47,train,1.0,1.0
48,train,1.0,1.0
49,train,1.0,1.0
50,train,0.9591836734693877,0.0
51,train,1.0,1.0
52,train,1.0,1.0
53,train,1.0,1.0
54,train,1.0,1.0
55,train,1.0,1.0
56,train,1.0,1.0
57,train,1.0,1.0
58,train,1.0,1.0
59,train,1.0,1.0
60,train,1.0,1.0
61,train,1.0,1.0
62,train,1.0,1.0
63,train,1.0,1.0
64,train,1.0,1.0
65,train,1.0,1.0
66,train,1.0,1.0
67,train,1.0,1.0
68,train,1.0,1.0
69,train,1.0,1.0
70,train,1.0,1.0
71,train,1.0,1.0
72,train,1.0,1.0
73,train,1.0,1.0
74,train,1.0,1.0
75,train,1.0,1.0
76,train,1.0,1.0
77,train,1.0,1.0
78,train,1.0,1.0
79,train,1.0,1.0
80,train,1.0,1.0
81,train,0.9795918367346939,0.0
82,train,1.0,1.0
83,train,1.0,1.0
84,train,1.0,1.0
85,train,1.0,1.0
86,train,1.0,1.0
87,train,1.0,1.0
88,train,1.0,1.0
89,train,1.0,1.0
90,train,1.0,1.0
91,train,1.0,1.0
92,train,1.0,1.0
93,train,1.0,1.0
94,train,1.0,1.0
95,train,1.0,1.0
96,train,1.0,1.0
97,train,1.0,1.0
98,train,1.0,1.0
99,train,1.0,1.0
100,train,1.0,1.0
101,train,1.0,1.0
102,train,1.0,1.0
103,train,1.0,1.0
104,train,1.0,1.0
105,train,1.0,1.0
106,train,1.0,1.0
107,train,1.0,1.0
108,train,1.0,1.0
109,train,1.0,1.0
110,train,0.9795918367346939,0.0
111,train,0.9591836734693877,0.0
112,train,1.0,1.0
113,train,1.0,1.0
114,train,1.0,1.0
115,train,1.0,1.0
116,train,1.0,1.0
117,train,1.0,1.0
118,train,1.0,1.0
119,train,0.9387755102040817,0.0
120,train,1.0,1.0
121,train,1.0,1.0
122,train,1.0,1.0
123,train,1.0,1.0
124,train,1.0,1.0
125,train,1.0,1.0
126,train,1.0,1.0
