M,metrica,bloque,banda,razon_vs_mejor
2,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.0879391794200741
2,10. Winkler max peor ventana,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.065886731800819
2,10. Winkler max peor ventana,train,PSBPM-FD (predictiva bayesiana),2.054165535997566
2,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.048394138861955
2,10. Winkler max peor ventana,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0788823390673974
2,10. Winkler max peor ventana,test,PSBPM-FD (predictiva bayesiana),2.092987532801226
3,5. MPIW,train,FAR (IC del modelo AR),1.2617685822527345
3,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.2813363261456532
3,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0
3,5. MPIW,test,FAR (IC del modelo AR),1.2629255984177543
3,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.282511285534427
3,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
3,6. PICP puntual,train,FAR (IC del modelo AR),1.4540399851593027
3,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.3945677867459079
3,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),22.701040251032413
3,6. PICP puntual,test,FAR (IC del modelo AR),1.4912414461609051
3,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.8890137432269702
3,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),25.012905506143696
3,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0610519881353213
3,7. PICPB curva completa,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1283406819517932
3,7. PICPB curva completa,train,PSBPM-FD (predictiva bayesiana),2.6801147052535943
3,7. PICPB curva completa,test,FAR (IC del modelo AR),1.1349250422779833
3,7. PICPB curva completa,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0489636055246914
3,7. PICPB curva completa,test,PSBPM-FD (predictiva bayesiana),2.335238630148133
3,8. Winkler,train,FAR (IC del modelo AR),1.0031674212959194
3,8. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.015601655390875
3,8. Winkler,train,PSBPM-FD (predictiva bayesiana),1.2200608325783584
3,8. Winkler,test,FAR (IC del modelo AR),1.002532396974513
3,8. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0134447814094707
3,8. Winkler,test,PSBPM-FD (predictiva bayesiana),1.2549540639570398
3,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0287340054346428
