M,experiment_id,p_covariables,n_variables_diag,rhat_max,ess_min,geweke_max,n_no_converge,converge,ocupacion_media,ocupacion_max,N_trunc,toca_truncamiento,pip_sd_max,contrato_ok,pip_media_activas
1,escenario_50_d_1_r01_m01,1,2,1.0140475002753557,10.669085645503618,1.5470152245872488,1,False,6.044333333333333,35,35,True,0.0,True,1.0
2,escenario_50_d_1_r01_m02,2,8,1.034727806392516,7.861619576467628,4.421123907525225,3,False,6.149,35,35,True,0.009899494936611674,True,0.5286666666666666
3,escenario_50_d_1_r01_m03,3,18,1.0481780583267608,13.729998020212978,3.9969062182636934,7,False,6.302555555555556,35,35,True,0.016027753706895038,True,0.384037037037037
4,escenario_50_d_1_r01_m04,4,32,1.7842447854681185,5.326050332059437,7.1645032631715075,15,False,6.304,35,35,True,0.017913371790059193,True,0.30935416666666665
