metrica,bloque,M,pct_ventanas_ganadas,n_ventanas
1. MAE  (L^1),train,1,0.05185185185185185,540
1. MAE  (L^1),train,2,0.12037037037037036,540
1. MAE  (L^1),train,3,0.2388888888888889,540
1. MAE  (L^1),train,4,0.5888888888888889,540
1. MAE  (L^1),test,1,0.08597285067873303,221
1. MAE  (L^1),test,2,0.06787330316742081,221
1. MAE  (L^1),test,3,0.16289592760180996,221
1. MAE  (L^1),test,4,0.6832579185520362,221
2. RMSE (L^2),train,1,0.027777777777777776,540
2. RMSE (L^2),train,2,0.06111111111111111,540
2. RMSE (L^2),train,3,0.2833333333333333,540
2. RMSE (L^2),train,4,0.6277777777777778,540
2. RMSE (L^2),test,1,0.049773755656108594,221
2. RMSE (L^2),test,2,0.04072398190045249,221
2. RMSE (L^2),test,3,0.13122171945701358,221
2. RMSE (L^2),test,4,0.7782805429864253,221
3. E_max promedio por curva,train,1,0.027777777777777776,540
3. E_max promedio por curva,train,2,0.08703703703703704,540
3. E_max promedio por curva,train,3,0.3296296296296296,540
3. E_max promedio por curva,train,4,0.5555555555555556,540
3. E_max promedio por curva,test,1,0.1085972850678733,221
3. E_max promedio por curva,test,2,0.10407239819004525,221
3. E_max promedio por curva,test,3,0.20361990950226244,221
3. E_max promedio por curva,test,4,0.583710407239819,221
4. E_max peor de la ventana,train,1,0.24814814814814815,540
4. E_max peor de la ventana,train,2,0.2388888888888889,540
4. E_max peor de la ventana,train,3,0.2574074074074074,540
4. E_max peor de la ventana,train,4,0.25555555555555554,540
4. E_max peor de la ventana,test,1,0.13574660633484162,221
4. E_max peor de la ventana,test,2,0.10407239819004525,221
4. E_max peor de la ventana,test,3,0.28054298642533937,221
4. E_max peor de la ventana,test,4,0.4796380090497738,221
