M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
3,3. E_max promedio por curva,test,GBT,1.0627055581107814,1.056675012786512
3,3. E_max promedio por curva,test,PSBPM-FD,1.0118285195510446,1.006161185942072
3,4. E_max peor de la ventana,train,FAR,1.236153442508336,1.0
3,4. E_max peor de la ventana,train,RF,1.1496075539350465,0.9346432227687811
3,4. E_max peor de la ventana,train,GBT,1.0091192926966606,0.8337808602379333
3,4. E_max peor de la ventana,train,PSBPM-FD,1.25307595377079,1.014157217305446
3,4. E_max peor de la ventana,test,FAR,1.0272380519433717,1.0
3,4. E_max peor de la ventana,test,RF,1.0409960052433131,1.0145877502087577
3,4. E_max peor de la ventana,test,GBT,1.1358352468699222,1.1074593891595204
3,4. E_max peor de la ventana,test,PSBPM-FD,1.0302141760139163,1.003554919713431
4,1. MAE  (L^1),train,FAR,1.6498445198982226,1.0
4,1. MAE  (L^1),train,RF,1.454251371153506,0.8818051295038247
4,1. MAE  (L^1),train,GBT,1.0,0.6090966763887422
4,1. MAE  (L^1),train,PSBPM-FD,1.6631945703722464,1.0081699482649182
4,1. MAE  (L^1),test,FAR,1.013767877719886,1.0
4,1. MAE  (L^1),test,RF,1.0222444940213615,1.0088641661675437
4,1. MAE  (L^1),test,GBT,1.08787105851053,1.0735799427495925
4,1. MAE  (L^1),test,PSBPM-FD,1.0127307652425008,0.9991104879826991
4,2. RMSE (L^2),train,FAR,1.627866694140453,1.0
4,2. RMSE (L^2),train,RF,1.4391372963759992,0.8843411337530489
4,2. RMSE (L^2),train,GBT,1.0,0.6174175964527457
4,2. RMSE (L^2),train,PSBPM-FD,1.643652180180206,1.0097149490347475
4,2. RMSE (L^2),test,FAR,1.009281460340846,1.0
4,2. RMSE (L^2),test,RF,1.0187741060173359,1.009648688148622
4,2. RMSE (L^2),test,GBT,1.0832331190095312,1.073448873994105
4,2. RMSE (L^2),test,PSBPM-FD,1.0081474956728507,0.9989468718055675
4,3. E_max promedio por curva,train,FAR,1.4548483505822614,1.0
4,3. E_max promedio por curva,train,RF,1.3203239762396473,0.9080126009667218
4,3. E_max promedio por curva,train,GBT,1.0,0.6905679082939998
4,3. E_max promedio por curva,train,PSBPM-FD,1.4628486931047366,1.0056968595893707
4,3. E_max promedio por curva,test,FAR,1.0081975005674506,1.0
4,3. E_max promedio por curva,test,RF,1.0165712695995186,1.0083946187357904
4,3. E_max promedio por curva,test,GBT,1.072489774600004,1.06370936053006
4,3. E_max promedio por curva,test,PSBPM-FD,1.0069684525106712,0.99886906383059
4,4. E_max peor de la ventana,train,FAR,1.4306689605021297,1.0
4,4. E_max peor de la ventana,train,RF,1.284280222793853,0.9005339614639121
4,4. E_max peor de la ventana,train,GBT,1.0029854735031158,0.7206824510290293
4,4. E_max peor de la ventana,train,PSBPM-FD,1.4480744038799005,1.0110871090459346
4,4. E_max peor de la ventana,test,FAR,1.0291345542722186,1.0
4,4. E_max peor de la ventana,test,RF,1.0510569764194069,1.0222142351147079
4,4. E_max peor de la ventana,test,GBT,1.1100880450851212,1.080051013231699
4,4. E_max peor de la ventana,test,PSBPM-FD,1.024405894637359,0.9959389039806685
