M,metrica,columna,modelo,bloque,minimo,maximo,promedio
1,1. MAE  (L^1),mae_f,(truncamiento FPCA),test,0.674904098646457,0.9482713438966852,0.7763275114738648
1,1. MAE  (L^1),mae_f,(truncamiento FPCA),train,0.5747641364101391,0.9142939193103132,0.7430716061720138
1,1. MAE  (L^1),mae_f,FAR,test,0.7523981862233164,0.9435426343677566,0.8297802791489275
1,1. MAE  (L^1),mae_f,FAR,train,0.6708981983528709,0.9138201876208359,0.7897226587228232
1,1. MAE  (L^1),mae_f,GBT,test,0.7753765675396533,1.076401763795447,0.8874871925162487
1,1. MAE  (L^1),mae_f,GBT,train,0.6700580182643174,0.9606287988965967,0.8118275788706322
1,1. MAE  (L^1),mae_f,PSBPM-FD,test,0.7681310682769638,1.0739054071214962,0.8780611802649386
1,1. MAE  (L^1),mae_f,PSBPM-FD,train,0.6958815609498126,0.9924819974223317,0.8398671202338236
1,1. MAE  (L^1),mae_f,RF,test,0.7849086451070729,1.0847577539468463,0.8872959590915959
1,1. MAE  (L^1),mae_f,RF,train,0.6710196227339613,0.9651839604974283,0.8128295100590138
1,1. MAE  (L^1),mae_f,media,test,0.7781591680142921,1.0764168967676926,0.8922187583060504
1,1. MAE  (L^1),mae_f,media,train,0.7393391102569945,1.0694529779748936,0.8741654903118898
1,1. MAE  (L^1),mae_f,persistencia,test,0.7870055443437826,1.1467545419752878,0.9161749250012736
1,1. MAE  (L^1),mae_f,persistencia,train,0.7176303529805989,1.0189211148569988,0.8665192257438175
1,2. RMSE (L^2),rmse_f,(truncamiento FPCA),test,0.8332509639643737,1.1400593081266186,0.9611316137143444
1,2. RMSE (L^2),rmse_f,(truncamiento FPCA),train,0.7252280464815487,1.1292935762561092,0.9295033175837623
1,2. RMSE (L^2),rmse_f,FAR,test,0.9470650507808711,1.1637783171005516,1.0286397918718637
1,2. RMSE (L^2),rmse_f,FAR,train,0.8371869187788181,1.1541942245961707,0.9882095589433905
1,2. RMSE (L^2),rmse_f,GBT,test,0.9841412662008125,1.3459405500687043,1.1042235508361682
1,2. RMSE (L^2),rmse_f,GBT,train,0.8346883052988102,1.2011097287796821,1.0135530087843867
1,2. RMSE (L^2),rmse_f,PSBPM-FD,test,0.9555519225359475,1.3327066812282347,1.0888714632421126
1,2. RMSE (L^2),rmse_f,PSBPM-FD,train,0.8681340400612794,1.243861263362032,1.049688605931509
1,2. RMSE (L^2),rmse_f,RF,test,0.9810725569030408,1.3504799950928592,1.1042556062077011
1,2. RMSE (L^2),rmse_f,RF,train,0.83256297594675,1.1951917908542786,1.0147103303205998
1,2. RMSE (L^2),rmse_f,media,test,0.9688767243069373,1.343794167227812,1.1027963080521122
1,2. RMSE (L^2),rmse_f,media,train,0.9152977562234209,1.3057018963176716,1.0888938900445488
1,2. RMSE (L^2),rmse_f,persistencia,test,0.9908156996426228,1.413507220246674,1.1396417194880277
