M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,6.374666666666666,35,17.00999999999999,35,True
1,1,2,5.714,28,16.0,35,False
2,1,1,6.17,29,16.0,35,False
2,1,2,6.174,35,18.0,35,True
2,2,1,6.351333333333334,25,16.0,35,False
2,2,2,5.900666666666667,34,16.0,35,False
3,1,1,6.216,35,18.0,35,True
3,1,2,5.506666666666667,29,16.0,35,False
3,2,1,7.446666666666666,25,17.0,35,False
3,2,2,6.628666666666667,21,15.0,35,False
3,3,1,6.344666666666667,30,15.0,35,False
3,3,2,5.672666666666666,22,16.0,35,False
4,1,1,6.594,28,15.0,35,False
4,1,2,7.088,35,17.0,35,True
4,2,1,5.486666666666666,28,15.0,35,False
4,2,2,3.9093333333333335,28,15.0,35,False
4,3,1,5.594,26,15.0,35,False
4,3,2,5.683333333333334,29,15.009999999999991,35,False
4,4,1,4.899333333333334,25,14.0,35,False
4,4,2,11.177333333333333,26,22.0,35,False
