bloque,modelo,FPC1,FPC2,FPC3
test,FAR1,0.707459452088157,1.0066168520307723,1.037424678823381
test,GBT,0.8638580208427581,1.2307329395491968,1.164638963562632
test,RF,0.7447905369621001,1.050355224579622,1.0465876799585672
test,VAR,0.7075595257432983,1.0058907202890752,1.0369690664194289
test,media,0.8739969706999897,1.0464152010354897,1.086440404324492
test,persistencia,0.7907737128842044,1.2634751264483532,1.3846724102162915
train,FAR1,0.76518738890741,0.9798843832523637,0.9777571892597213
train,GBT,0.24227448448152988,0.29398918646065564,0.2926426555319087
train,RF,0.676792576141538,0.8491708844399873,0.8397248265691252
train,VAR,0.7651825306359112,0.9798616933175377,0.9777496887305925
train,media,1.0014776959427505,0.9979107755232168,1.0011872524103793
train,persistencia,0.8470740169252025,1.2711894833606066,1.2948790277109026
