bloque,modelo,FPC1,FPC2
test,FAR1,0.8194211039477097,1.0049196686531117
test,GBT,1.016123795391564,1.1576951457774323
test,RF,0.8868227763711959,1.0248150363122353
test,VAR,0.8194171599819797,1.0049368721516503
test,media,1.1392203128535836,1.0385848705434557
test,persistencia,0.8786753361171487,1.2598242525102796
train,FAR1,0.834698617538214,0.95234498090935
train,GBT,0.3914907877122192,0.4480427349657163
train,RF,0.7191851375132423,0.8244841700139657
train,VAR,0.8346986109678007,0.9523400247450969
train,media,0.9993171748446906,1.0009056143759718
train,persistencia,0.9462341342810106,1.1804089854224413
