componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,4,1,0,3,0,0.25,0.0,0.25,,0.38875000000000004,
FPC 2,4,1,0,3,0,0.25,0.0,0.25,,0.25768749999999996,
FPC 3,4,0,0,4,0,0.0,0.0,0.0,,0.050437499999999996,
FPC 4,4,0,0,4,0,0.0,0.0,0.0,,0.03706250000000001,
