bloque,objetivo,banda,winkler,picp,ee_picp,ace,mpiw,picp_simultaneo
test,curva_suavizada,FAR (IC del modelo AR),2.658104096799008,0.9332444444444444,0.00166398786531399,-0.016755555555555524,2.066542048365792,0.7433333333333333
test,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.696451754980643,0.9271111111111111,0.001733026880158683,-0.022888888888888848,2.0488835284725044,0.72
test,curva_suavizada,PSBPM-FD (predictiva bayesiana),2.4642120000756065,0.9228444444444445,0.001778920719018749,-0.02715555555555549,1.8721646331451958,0.62
test,representacion_fpca,FAR (IC del modelo AR),2.556579144818265,0.9383111111111111,0.0016039308640758974,-0.01168888888888886,2.066542048365792,0.7866666666666666
test,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.6020813198263313,0.9321777777777778,0.0016762705747523344,-0.017822222222222184,2.0488835284725044,0.7733333333333333
test,representacion_fpca,PSBPM-FD (predictiva bayesiana),2.3481184644312747,0.9341333333333334,0.001653659227140275,-0.015866666666666585,1.8721646331451958,0.77
train,curva_suavizada,FAR (IC del modelo AR),2.4042640047193657,0.950919540229885,0.0009455640356804002,0.0009195402298850519,2.0665420483657924,0.7816091954022989
train,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.4000387429899175,0.9505172413793104,0.0009492305335094686,0.000517241379310418,2.0488835284725044,0.7772988505747126
train,curva_suavizada,PSBPM-FD (predictiva bayesiana),2.2306015522520903,0.94227969348659,0.001020749036908099,-0.007720306513409936,1.8666767045879011,0.7083333333333334
train,representacion_fpca,FAR (IC del modelo AR),2.3385402911544246,0.9587547892720306,0.0008703727492315467,0.00875478927203066,2.0665420483657924,0.8491379310344828
train,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.3351179371645605,0.9590804597701149,0.0008670769525883846,0.009080459770114957,2.0488835284725044,0.860632183908046
train,representacion_fpca,PSBPM-FD (predictiva bayesiana),2.140649619867616,0.9539272030651341,0.0009175815112765103,0.003927203065134166,1.8666767045879011,0.8261494252873564
