metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.6882033866336122,0.940436267633588,0.8016152111238568
1. MAE  (L^1),test,mae_f,0.7570688309345128,0.9617617595641639,0.8348929475005683
2. RMSE (L^2),train,rmse_f,0.8569801185753628,1.183157674819946,1.0038968658417904
2. RMSE (L^2),test,rmse_f,0.9592570744893069,1.1926428274230503,1.0360995941295035
3. E_max promedio por curva,train,linf_medio,1.6785435843449334,2.264052557580258,1.929971509690252
3. E_max promedio por curva,test,linf_medio,1.7847833690967085,2.2493339439727116,1.983084110369402
4. E_max peor de la ventana,train,linf_max,2.3635237031549003,4.025636504462078,3.1138137072151784
4. E_max peor de la ventana,test,linf_max,2.6687476307894458,3.7187246257898705,3.02182554438758
5. MPIW,train,mpiw,3.0463788730852355,3.157913276242737,3.0907187542288845
5. MPIW,test,mpiw,3.0572032936030458,3.1709676816925585,3.091220218509856
6. PICP puntual,train,picp,0.7826666666666666,0.918,0.8605481481481482
6. PICP puntual,test,picp,0.7913333333333333,0.886,0.8495987933634993
7. PICPB curva completa,train,picp_simultaneo,0.0,0.3,0.14500000000000002
7. PICPB curva completa,test,picp_simultaneo,0.0,0.25,0.1
8. Winkler,train,winkler,4.369194965347379,7.777722560231117,5.708968248499352
8. Winkler,test,winkler,4.828495690210065,7.417601845661454,5.957363461636251
9. Winkler max promedio,train,winkler_max_medio,19.994637405424818,40.36161702028621,29.138367134565105
9. Winkler max promedio,test,winkler_max_medio,22.25541196680357,41.47223042902155,31.58156741723955
10. Winkler max peor ventana,train,winkler_max_glob,44.671493303945915,111.21084337087545,76.02691355856638
10. Winkler max peor ventana,test,winkler_max_glob,54.75490026914547,113.72819160732867,76.81330283026638
