componente,param,variable,n_cadenas,n_post,ess_min,ess_mean,geweke_max,rhat,converge
1,beta_j,fpc_1_lag1,2,1500,1060.8482394166008,1280.4241197083004,2.672302966514829,0.9996746134645285,False
1,beta_j,fpc_2_lag1,2,1500,1500.0,1500.0,0.25320946338113304,0.9996970716505311,True
1,beta_j,fpc_3_lag1,2,1500,1416.8493659545472,1458.4246829772737,0.4883492743638558,0.9999279315272565,True
1,p_j,fpc_1_lag1,2,1500,14.226354541868197,18.467838891472546,3.688483518874591,1.0363804067784084,False
1,p_j,fpc_2_lag1,2,1500,78.48951393377355,84.7900321750396,0.4221567443360033,1.0028272520694468,False
1,p_j,fpc_3_lag1,2,1500,107.25610602873381,141.69237451109635,4.3059071224196686,1.00193890098776,False
2,beta_j,fpc_1_lag1,2,1500,985.6191745895505,1242.8095872947752,1.681527365150167,0.9996771186946461,True
2,beta_j,fpc_2_lag1,2,1500,1500.0,1500.0,1.5213336608368582,1.002012866594228,True
2,beta_j,fpc_3_lag1,2,1500,1121.6654851472367,1310.8327425736184,2.1491181088590356,0.9997544827765837,False
2,p_j,fpc_1_lag1,2,1500,74.59058072480973,94.66285379888392,1.7649565222237094,1.0226817755032154,False
2,p_j,fpc_2_lag1,2,1500,13.598379372927313,108.73620925925897,2.0178706391951193,1.28083263704263,False
2,p_j,fpc_3_lag1,2,1500,125.00723244367398,129.9738382856214,3.3151930867834305,1.0033964857335254,False
3,beta_j,fpc_1_lag1,2,1500,1296.8821069532814,1373.3883820135493,0.7495566364611802,0.9998118209194972,True
3,beta_j,fpc_2_lag1,2,1500,1080.1605293309217,1206.686530098229,1.0232772889134196,0.9999450977489954,True
3,beta_j,fpc_3_lag1,2,1500,1260.5037076734548,1380.2518538367274,1.3824593618806722,1.0035610412700824,True
3,p_j,fpc_1_lag1,2,1500,55.631983201829925,97.7005514027135,3.259586678577116,1.0133006158829267,False
3,p_j,fpc_2_lag1,2,1500,82.10518257922007,146.54687640278812,1.9706675998825045,1.050449489745428,False
3,p_j,fpc_3_lag1,2,1500,36.83603978633174,62.130684831185064,0.38844356657558593,1.5126474989562975,False
