fpc,carga_e,carga_e2,var_ratio,retenida
1,-0.00024401991441007825,5.954571862870191e-08,0.9216421351607218,1
2,-0.8499528914679997,0.7224199177148133,0.06519090966122008,1
3,0.022305209244598202,0.0004975223594453092,0.012006089044789144,1
