M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
4,1. MAE  (L^1),train,FAR,1.6498445198982226,1.0
4,1. MAE  (L^1),train,RF,1.454251371153506,0.8818051295038247
4,1. MAE  (L^1),train,GBT,1.0,0.6090966763887422
4,1. MAE  (L^1),train,PSBPM-FD,1.6632615421010621,1.008226659529438
4,1. MAE  (L^1),test,FAR,1.013665403399936,1.0
4,1. MAE  (L^1),test,RF,1.0221412190647823,1.0088641661675437
4,1. MAE  (L^1),test,GBT,1.087758112428982,1.0735799427495925
4,1. MAE  (L^1),test,PSBPM-FD,1.0128394043745614,0.9993173387273746
4,2. RMSE (L^2),train,FAR,1.627866694140453,1.0
4,2. RMSE (L^2),train,RF,1.4391372963759992,0.8843411337530489
4,2. RMSE (L^2),train,GBT,1.0,0.6174175964527457
4,2. RMSE (L^2),train,PSBPM-FD,1.6437182814164848,1.0097683536270774
4,2. RMSE (L^2),test,FAR,1.0092866805363414,1.0
4,2. RMSE (L^2),test,RF,1.0187789165249874,1.009648688148622
4,2. RMSE (L^2),test,GBT,1.0832388067056646,1.073448873994105
4,2. RMSE (L^2),test,PSBPM-FD,1.0082820439519842,0.9990778017415805
4,3. E_max promedio por curva,train,FAR,1.4548483505822614,1.0
4,3. E_max promedio por curva,train,RF,1.3203239762396473,0.9080126009667218
4,3. E_max promedio por curva,train,GBT,1.0,0.6905679082939998
4,3. E_max promedio por curva,train,PSBPM-FD,1.4632825839441408,1.0060063194895095
4,3. E_max promedio por curva,test,FAR,1.0083827156781688,1.0
4,3. E_max promedio por curva,test,RF,1.0167599787396413,1.0083946187357904
4,3. E_max promedio por curva,test,GBT,1.0726859017334085,1.06370936053006
4,3. E_max promedio por curva,test,PSBPM-FD,1.007037037656105,0.9987536603966084
4,4. E_max peor de la ventana,train,FAR,1.4306689605021297,1.0
4,4. E_max peor de la ventana,train,RF,1.284280222793853,0.9005339614639121
4,4. E_max peor de la ventana,train,GBT,1.0029854735031158,0.7206824510290293
4,4. E_max peor de la ventana,train,PSBPM-FD,1.4491406762656571,1.011825648357976
4,4. E_max peor de la ventana,test,FAR,1.0295776431174275,1.0
4,4. E_max peor de la ventana,test,RF,1.0515254196052128,1.0222142351147079
4,4. E_max peor de la ventana,test,GBT,1.1105978094332367,1.080051013231699
4,4. E_max peor de la ventana,test,PSBPM-FD,1.023946148315367,0.9950665623612339
5,1. MAE  (L^1),train,FAR,2.0020773949879116,1.0
5,1. MAE  (L^1),train,RF,1.7306667693669007,0.8644502781324515
5,1. MAE  (L^1),train,GBT,1.0,0.5015010582289953
5,1. MAE  (L^1),train,PSBPM-FD,2.013362312020075,1.0055513270418268
5,1. MAE  (L^1),test,FAR,1.014302035831031,1.0
5,1. MAE  (L^1),test,RF,1.0205723230723591,1.0065563126516692
5,1. MAE  (L^1),test,GBT,1.077327669823864,1.0624187855595493
5,1. MAE  (L^1),test,PSBPM-FD,1.0111233049506794,0.997032157011606
