M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
4,1,1,6.6495,28,16.0,35,False
4,1,2,4.99,29,14.0,35,False
4,2,1,10.516,30,21.0,35,False
4,2,2,6.406,30,17.0,35,False
4,3,1,6.2785,29,16.0,35,False
4,3,2,6.345,33,17.0,35,False
4,4,1,2.582,21,11.0,35,False
4,4,2,5.2725,27,16.0,35,False
5,1,1,6.7075,35,18.00999999999999,35,True
5,1,2,10.389,31,20.0,35,False
5,2,1,7.151,35,18.0,35,True
5,2,2,3.996,25,17.0,35,False
5,3,1,5.4275,24,16.0,35,False
5,3,2,10.993,32,20.0,35,False
5,4,1,11.125,28,20.0,35,False
5,4,2,8.414,28,18.0,35,False
5,5,1,3.3875,21,12.009999999999991,35,False
5,5,2,2.818,17,10.009999999999991,35,False
6,1,1,6.7885,30,17.0,35,False
6,1,2,5.027,28,17.0,35,False
6,2,1,7.1615,25,16.0,35,False
6,2,2,3.16,21,13.0,35,False
6,3,1,6.0175,27,17.00999999999999,35,False
6,3,2,7.2305,25,18.0,35,False
6,4,1,4.143,23,14.0,35,False
6,4,2,5.5085,35,15.009999999999991,35,True
6,5,1,2.778,21,10.0,35,False
6,5,2,3.0165,27,11.0,35,False
6,6,1,2.6545,18,9.0,35,False
6,6,2,2.1165,16,8.0,35,False
