M,experiment_id,p_covariables,n_variables_diag,rhat_max,ess_min,geweke_max,n_no_converge,converge,ocupacion_media,ocupacion_max,N_trunc,toca_truncamiento,pip_sd_max,contrato_ok,pip_media_activas
4,escenario_50_1_r01_m04,4,32,1.5747858575788378,9.593502128888707,5.024424783248268,12,False,6.1299375000000005,33,35,False,0.033587572106361,True,0.297875
5,escenario_50_1_r01_m05,5,50,1.5124411268254818,3.7456052958906483,4.755445281364413,15,False,7.040850000000001,35,35,True,0.055154328932550754,True,0.25144
6,escenario_50_1_r01_m06,6,72,1.3909993045528402,5.92253697723034,13.240730301469162,28,False,4.633500000000001,35,35,True,0.03783021279348029,True,0.19439583333333332
