M,covariable,componente,pip
4,fpc_1_lag1,FPC 1,1.0
4,fpc_1_lag1,FPC 2,0.059250000000000025
4,fpc_1_lag1,FPC 3,0.057999999999999996
4,fpc_1_lag1,FPC 4,0.04450000000000004
4,fpc_2_lag1,FPC 1,0.061
4,fpc_2_lag1,FPC 2,1.0
4,fpc_2_lag1,FPC 3,0.07474999999999998
4,fpc_2_lag1,FPC 4,0.059250000000000025
4,fpc_3_lag1,FPC 1,0.08350000000000002
4,fpc_3_lag1,FPC 2,0.06324999999999997
4,fpc_3_lag1,FPC 3,1.0
4,fpc_3_lag1,FPC 4,0.04325000000000001
4,fpc_4_lag1,FPC 1,0.07449999999999996
4,fpc_4_lag1,FPC 2,0.06275000000000003
4,fpc_4_lag1,FPC 3,0.08199999999999996
4,fpc_4_lag1,FPC 4,1.0
5,fpc_1_lag1,FPC 1,1.0
5,fpc_1_lag1,FPC 2,0.04625000000000001
5,fpc_1_lag1,FPC 3,0.06175000000000003
5,fpc_1_lag1,FPC 4,0.04700000000000004
5,fpc_1_lag1,FPC 5,0.069
5,fpc_2_lag1,FPC 1,0.054749999999999965
5,fpc_2_lag1,FPC 2,1.0
5,fpc_2_lag1,FPC 3,0.07124999999999998
5,fpc_2_lag1,FPC 4,0.05500000000000005
5,fpc_2_lag1,FPC 5,0.07124999999999998
5,fpc_3_lag1,FPC 1,0.06774999999999998
5,fpc_3_lag1,FPC 2,0.057499999999999996
5,fpc_3_lag1,FPC 3,1.0
5,fpc_3_lag1,FPC 4,0.05525000000000002
5,fpc_3_lag1,FPC 5,0.08725
5,fpc_4_lag1,FPC 1,0.0685
5,fpc_4_lag1,FPC 2,0.05149999999999999
5,fpc_4_lag1,FPC 3,0.07200000000000001
5,fpc_4_lag1,FPC 4,1.0
5,fpc_4_lag1,FPC 5,0.06824999999999998
5,fpc_5_lag1,FPC 1,0.07550000000000001
5,fpc_5_lag1,FPC 2,0.07850000000000001
5,fpc_5_lag1,FPC 3,0.060750000000000026
5,fpc_5_lag1,FPC 4,0.06699999999999995
5,fpc_5_lag1,FPC 5,1.0
6,fpc_1_lag1,FPC 1,1.0
6,fpc_1_lag1,FPC 2,0.06325000000000003
6,fpc_1_lag1,FPC 3,0.07374999999999998
6,fpc_1_lag1,FPC 4,0.07250000000000001
6,fpc_1_lag1,FPC 5,0.037250000000000005
6,fpc_1_lag1,FPC 6,0.050000000000000044
6,fpc_2_lag1,FPC 1,0.0665
6,fpc_2_lag1,FPC 2,1.0
6,fpc_2_lag1,FPC 3,0.08300000000000002
6,fpc_2_lag1,FPC 4,0.07399999999999995
6,fpc_2_lag1,FPC 5,0.07174999999999998
6,fpc_2_lag1,FPC 6,0.064
6,fpc_3_lag1,FPC 1,0.07249999999999995
6,fpc_3_lag1,FPC 2,0.058750000000000024
6,fpc_3_lag1,FPC 3,1.0
6,fpc_3_lag1,FPC 4,0.0675
6,fpc_3_lag1,FPC 5,0.05275000000000002
6,fpc_3_lag1,FPC 6,0.06524999999999997
6,fpc_4_lag1,FPC 1,0.0615
6,fpc_4_lag1,FPC 2,0.05724999999999997
6,fpc_4_lag1,FPC 3,0.09150000000000003
6,fpc_4_lag1,FPC 4,1.0
6,fpc_4_lag1,FPC 5,0.05425000000000002
6,fpc_4_lag1,FPC 6,0.05175000000000002
6,fpc_5_lag1,FPC 1,0.07300000000000001
6,fpc_5_lag1,FPC 2,0.049250000000000016
6,fpc_5_lag1,FPC 3,0.08499999999999996
6,fpc_5_lag1,FPC 4,0.0595
6,fpc_5_lag1,FPC 5,1.0
6,fpc_5_lag1,FPC 6,0.05075000000000002
6,fpc_6_lag1,FPC 1,0.06
6,fpc_6_lag1,FPC 2,0.04450000000000004
6,fpc_6_lag1,FPC 3,0.08000000000000002
6,fpc_6_lag1,FPC 4,0.07049999999999995
6,fpc_6_lag1,FPC 5,0.049250000000000016
6,fpc_6_lag1,FPC 6,0.08749999999999997
