objetivo,metrica,bloque,columna,minimo,maximo,promedio
curva_suavizada,1. MAE  (L^1),train,mae_f,0.30127399387844606,0.5597222870555391,0.42381028681281285
curva_suavizada,1. MAE  (L^1),test,mae_f,0.32900246785122694,0.5673246088713391,0.4426766016569758
curva_suavizada,2. RMSE (L^2),train,rmse_f,0.38573891556360246,0.685938519928555,0.5363662409936503
curva_suavizada,2. RMSE (L^2),test,rmse_f,0.42586783263155453,0.7088738549163787,0.5688896932622028
curva_suavizada,3. E_max promedio por curva,train,linf_medio,0.6346620222752957,1.1077255375121857,0.8696123042684862
curva_suavizada,3. E_max promedio por curva,test,linf_medio,0.6941602219768386,1.1549865254677156,0.9146329476840573
curva_suavizada,4. E_max peor de la ventana,train,linf_max,1.2062720429979872,2.5533622064837784,1.7452253845334023
curva_suavizada,4. E_max peor de la ventana,test,linf_max,1.3844581282293147,2.429565895460639,1.94757614332043
curva_suavizada,5. MPIW,train,mpiw,1.0827933323606433,1.4821578501035464,1.2380088657726271
curva_suavizada,5. MPIW,test,mpiw,1.0819063863702387,1.3960461544328209,1.2341754984640207
curva_suavizada,6. PICP puntual,train,picp,0.5906666666666667,0.7511111111111111,0.680535732133933
curva_suavizada,6. PICP puntual,test,picp,0.5675555555555556,0.7831111111111111,0.6760164001640016
curva_suavizada,7. PICPB curva completa,train,picp_simultaneo,0.0,0.03333333333333333,0.005997001499250375
curva_suavizada,7. PICPB curva completa,test,picp_simultaneo,0.0,0.03333333333333333,0.0036900369003690036
curva_suavizada,8. Winkler,train,winkler,2.934723282743632,6.362135920934088,4.4313784639268325
curva_suavizada,8. Winkler,test,winkler,3.236043622635241,7.075397376281899,4.790986320104875
curva_suavizada,9. Winkler max promedio,train,winkler_max_medio,10.553656684627494,20.07523069554802,14.76191357496565
curva_suavizada,9. Winkler max promedio,test,winkler_max_medio,11.16268721335389,21.93629757559766,16.128456809951473
curva_suavizada,10. Winkler max peor ventana,train,winkler_max_glob,22.7054240943811,49.19268229732983,37.49665646583093
curva_suavizada,10. Winkler max peor ventana,test,winkler_max_glob,28.041637495752287,58.73611109145149,41.45114627996617
representacion_fpca,1. MAE  (L^1),train,mae_f,0.20239417423801517,0.43048292608391703,0.29695527839093416
representacion_fpca,1. MAE  (L^1),test,mae_f,0.1919823184308905,0.4589993135551104,0.3114707648786262
representacion_fpca,2. RMSE (L^2),train,rmse_f,0.29007154336664426,0.5749916298860949,0.41691388571650095
representacion_fpca,2. RMSE (L^2),test,rmse_f,0.285557369147957,0.6080548919275425,0.4421630168914395
representacion_fpca,3. E_max promedio por curva,train,linf_medio,0.3761101333375535,0.799968632192731,0.5518335187828076
representacion_fpca,3. E_max promedio por curva,test,linf_medio,0.35676172822336366,0.8529607814701256,0.5788077218639943
representacion_fpca,4. E_max peor de la ventana,train,linf_max,0.8874213580302571,2.2595009287332317,1.5318025751590711
representacion_fpca,4. E_max peor de la ventana,test,linf_max,0.9943078808756519,2.0595530821632697,1.5707270048661692
representacion_fpca,5. MPIW,train,mpiw,1.0827933323606433,1.4821578501035464,1.2380088657726271
representacion_fpca,5. MPIW,test,mpiw,1.0819063863702387,1.3960461544328209,1.2341754984640207
representacion_fpca,6. PICP puntual,train,picp,0.8666666666666667,1.0,0.959720139930035
representacion_fpca,6. PICP puntual,test,picp,0.8666666666666667,1.0,0.9565805658056581
representacion_fpca,7. PICPB curva completa,train,picp_simultaneo,0.8666666666666667,1.0,0.959720139930035
representacion_fpca,7. PICPB curva completa,test,picp_simultaneo,0.8666666666666667,1.0,0.9565805658056581
representacion_fpca,8. Winkler,train,winkler,1.0977414271417771,2.089444309297177,1.385077825627451
representacion_fpca,8. Winkler,test,winkler,1.0824211856081618,1.9811187473760208,1.3719792400907822
representacion_fpca,9. Winkler max promedio,train,winkler_max_medio,2.03993853126876,3.8828250898515595,2.573897236127966
representacion_fpca,9. Winkler max promedio,test,winkler_max_medio,2.01146884775309,3.681523141851227,2.5495560673602515
representacion_fpca,10. Winkler max peor ventana,train,winkler_max_glob,2.745333051355553,25.838730831817866,8.836154365454295
representacion_fpca,10. Winkler max peor ventana,test,winkler_max_glob,2.6843907089130616,21.52940997495857,8.834995863643565
