bloque,objetivo,banda,winkler,picp,ee_picp,ace,mpiw,picp_simultaneo
test,curva_suavizada,FAR (IC del modelo AR),1.4541029244137327,0.9511555555555555,0.0014369514751160302,0.0011555555555555763,1.2264645585536553,0.6566666666666666
test,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.4718807412683084,0.9536888888888889,0.00140105344649843,0.0036888888888889637,1.2524239977339204,0.65
test,curva_suavizada,PSBPM-FD (predictiva bayesiana),1.518661792233931,0.9333333333333333,0.001662958838566196,-0.016666666666666607,1.166654236991932,0.4766666666666667
test,representacion_fpca,FAR (IC del modelo AR),1.3611923899584129,0.9703111111111111,0.0011315173444034655,0.02031111111111117,1.2264645585536553,0.8133333333333334
test,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.3801977349483503,0.9703111111111111,0.0011315173444034655,0.02031111111111117,1.2524239977339204,0.81
test,representacion_fpca,PSBPM-FD (predictiva bayesiana),1.3674345126249192,0.9565333333333333,0.001359367754273296,0.006533333333333391,1.166654236991932,0.76
train,curva_suavizada,FAR (IC del modelo AR),1.4419175143595584,0.953984674329502,0.0009170366596450081,0.003984674329502003,1.2264645585536555,0.6566091954022989
train,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.463576646024161,0.9537739463601532,0.0009190325331703619,0.0037739463601532686,1.2524239977339207,0.6364942528735632
train,curva_suavizada,PSBPM-FD (predictiva bayesiana),1.4941745508835453,0.9327586206896552,0.0010961442019511017,-0.01724137931034475,1.1677088217454512,0.4425287356321839
train,representacion_fpca,FAR (IC del modelo AR),1.3630975580533238,0.9681800766283525,0.000768231983345563,0.018180076628352526,1.2264645585536555,0.7974137931034483
train,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.38653731639659,0.9672222222222222,0.0007793232532032538,0.01722222222222225,1.2524239977339207,0.7859195402298851
train,representacion_fpca,PSBPM-FD (predictiva bayesiana),1.3676773609322854,0.9535632183908046,0.0009210231579760968,0.0035632183908046455,1.1677088217454512,0.7399425287356322
