bloque,mae_f,rmse_f,l2_medio,razon_agregacion,linf_max,linf_medio,q95_abs_medio,razon_linf_l1_media,argmax_tau_peor,argmax_origen_peor,n,mae_f_truncamiento,rmse_f_truncamiento,energy
train,0.7841501046205946,0.9765135178287047,0.8630860907374561,0.8838444885602235,3.6381173882589364,1.3140643439927313,1.2691547729059869,1.8641032300697495,0.0,364,559,0.057068273546925605,0.07412075322996725,6.09005506919695
test,0.7745525349633754,0.96942363489146,0.8503339451662452,0.8771541301047932,3.0402360517485802,1.2861653913943347,1.2397225265780263,1.873606559958778,0.10101010101010102,174,240,0.05846837562689255,0.0758530638012255,6.016751643799531
