bloque,modelo,mae_f,rmse_f,l2_medio,razon_agregacion,linf_max,linf_medio,q95_abs_medio,razon_linf_l1_media,argmax_tau_peor,argmax_origen_peor,n
test,(truncamiento FPCA),0.05846837562689255,0.0758530638012255,0.07226781473840418,0.9527342880675653,0.5072597957379603,0.20294080194040737,0.1362959710918599,3.5536052160152676,0.0,132,240
test,FAR,0.7813002962511715,0.9769962711753574,0.8599396899330866,0.8801872794238528,3.2803102477232704,1.296833264781746,1.2516820184631727,1.856679569437742,0.020202020202020204,2,240
test,GBT,0.8906187246692507,1.1141715948932878,0.9770934448942403,0.876968547190277,3.093015001354391,1.458992720542778,1.4090406569404024,1.8352598446541697,0.8383838383838385,52,240
test,PSBPM-FD,0.7767479346185789,0.9705689002168713,0.851610241599051,0.8774340919112087,3.0487915033715867,1.2841126221513757,1.2380929339368827,1.8629555533307742,0.020202020202020204,2,240
test,RF,0.8122381012599713,1.0080899910544356,0.8899891950636474,0.8828469709660961,3.045314201826497,1.329638327795278,1.2849296814723956,1.8268357038264633,0.10101010101010102,174,240
test,media,0.9459634385142431,1.1656461277304517,1.0263379305262186,0.8804884313599785,3.7811621579958987,1.4690399110602959,1.4328614762344372,1.7479709331472606,0.595959595959596,1,240
test,persistencia,0.8971757133975227,1.1204201416636979,0.9846917501665023,0.8788593792185366,3.6232768849371206,1.5116065226273485,1.4442814769760053,1.8792021532635803,0.11111111111111112,174,240
train,(truncamiento FPCA),0.057068273546925605,0.07412075322996725,0.07039907192326247,0.9497889437907103,0.5737083399627736,0.18844538564711208,0.13351913667295784,3.348617493748698,1.0,512,559
train,FAR,0.7884489329697618,0.9832449430813678,0.8679536320297376,0.8827440589825751,3.588126663819102,1.3193058572061243,1.2754506885313486,1.858677465291174,0.0,364,559
train,GBT,0.3922750743057208,0.49411729192481907,0.43362745160632266,0.8775799970835668,2.0330097242546863,0.6817107797854746,0.6484209670085636,1.9346788979066498,0.0,364,559
train,PSBPM-FD,0.7800280206250416,0.9733269212973864,0.858696409782921,0.8822281506796609,3.703308210080223,1.3076246923400816,1.2630079291189031,1.8700981297177077,0.0,364,559
train,RF,0.6752899638881338,0.8402282455873334,0.7418840963386093,0.8829554353055818,2.9983508267439904,1.1229875988045603,1.0839784361215807,1.8784272714103654,0.0,364,559
train,media,0.9886901093121286,1.2151124218007459,1.0666463310327174,0.8778169919882739,3.9319459321391044,1.5162665011724124,1.4801448103669412,1.7254487156527005,0.0,364,559
train,persistencia,0.8777065338631153,1.1116049076563466,0.987297329197135,0.8881728772488999,4.626394498099241,1.5944108350323045,1.5163687854724823,2.017350267576083,1.0,395,559
